"";"location";"hits";"keyword";"geo";"gprop"
"1";"Idaho";100;"hopeless";"US";"web"
"2";"Missouri";96;"hopeless";"US";"web"
"3";"Pennsylvania";94;"hopeless";"US";"web"
"4";"Rhode Island";93;"hopeless";"US";"web"
"5";"Kentucky";93;"hopeless";"US";"web"
"6";"Maine";92;"hopeless";"US";"web"
"7";"South Dakota";91;"hopeless";"US";"web"
"8";"New Jersey";90;"hopeless";"US";"web"
"9";"New York";89;"hopeless";"US";"web"
"10";"North Dakota";89;"hopeless";"US";"web"
"11";"Montana";87;"hopeless";"US";"web"
"12";"Alabama";86;"hopeless";"US";"web"
"13";"New Mexico";86;"hopeless";"US";"web"
"14";"Nevada";85;"hopeless";"US";"web"
"15";"Louisiana";85;"hopeless";"US";"web"
"16";"Connecticut";82;"hopeless";"US";"web"
"17";"South Carolina";82;"hopeless";"US";"web"
"18";"Michigan";81;"hopeless";"US";"web"
"19";"California";81;"hopeless";"US";"web"
"20";"Ohio";80;"hopeless";"US";"web"
"21";"Massachusetts";80;"hopeless";"US";"web"
"22";"Maryland";80;"hopeless";"US";"web"
"23";"Tennessee";80;"hopeless";"US";"web"
"24";"Georgia";80;"hopeless";"US";"web"
"25";"Texas";79;"hopeless";"US";"web"
"26";"Iowa";79;"hopeless";"US";"web"
"27";"Illinois";77;"hopeless";"US";"web"
"28";"Oklahoma";77;"hopeless";"US";"web"
"29";"Arizona";76;"hopeless";"US";"web"
"30";"Kansas";75;"hopeless";"US";"web"
"31";"Florida";75;"hopeless";"US";"web"
"32";"Washington";74;"hopeless";"US";"web"
"33";"North Carolina";73;"hopeless";"US";"web"
"34";"District of Columbia";72;"hopeless";"US";"web"
"35";"West Virginia";71;"hopeless";"US";"web"
"36";"Utah";71;"hopeless";"US";"web"
"37";"Nebraska";70;"hopeless";"US";"web"
"38";"Colorado";68;"hopeless";"US";"web"
"39";"Indiana";68;"hopeless";"US";"web"
"40";"Hawaii";66;"hopeless";"US";"web"
"41";"Virginia";65;"hopeless";"US";"web"
"42";"New Hampshire";64;"hopeless";"US";"web"
"43";"Oregon";63;"hopeless";"US";"web"
"44";"Arkansas";62;"hopeless";"US";"web"
"45";"Minnesota";62;"hopeless";"US";"web"
"46";"Wisconsin";59;"hopeless";"US";"web"
"47";"Mississippi";54;"hopeless";"US";"web"
"48";"Wyoming";40;"hopeless";"US";"web"
"49";"Vermont";35;"hopeless";"US";"web"
"50";"Alaska";29;"hopeless";"US";"web"
"51";"Delaware";25;"hopeless";"US";"web"
