"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"abnormal";"US";"web"
"2";"West Virginia";100;"abnormal";"US";"web"
"3";"South Dakota";98;"abnormal";"US";"web"
"4";"Tennessee";97;"abnormal";"US";"web"
"5";"Iowa";90;"abnormal";"US";"web"
"6";"South Carolina";90;"abnormal";"US";"web"
"7";"Louisiana";89;"abnormal";"US";"web"
"8";"Kentucky";88;"abnormal";"US";"web"
"9";"Indiana";88;"abnormal";"US";"web"
"10";"Nebraska";86;"abnormal";"US";"web"
"11";"Alabama";86;"abnormal";"US";"web"
"12";"New Mexico";85;"abnormal";"US";"web"
"13";"Alaska";84;"abnormal";"US";"web"
"14";"Oklahoma";83;"abnormal";"US";"web"
"15";"Rhode Island";83;"abnormal";"US";"web"
"16";"North Carolina";83;"abnormal";"US";"web"
"17";"Ohio";81;"abnormal";"US";"web"
"18";"Arkansas";79;"abnormal";"US";"web"
"19";"Georgia";79;"abnormal";"US";"web"
"20";"Florida";76;"abnormal";"US";"web"
"21";"Maryland";75;"abnormal";"US";"web"
"22";"Kansas";75;"abnormal";"US";"web"
"23";"Missouri";74;"abnormal";"US";"web"
"24";"Wisconsin";73;"abnormal";"US";"web"
"25";"North Dakota";73;"abnormal";"US";"web"
"26";"Pennsylvania";73;"abnormal";"US";"web"
"27";"Montana";72;"abnormal";"US";"web"
"28";"Delaware";71;"abnormal";"US";"web"
"29";"Texas";71;"abnormal";"US";"web"
"30";"Michigan";70;"abnormal";"US";"web"
"31";"Wyoming";69;"abnormal";"US";"web"
"32";"New Jersey";69;"abnormal";"US";"web"
"33";"Virginia";69;"abnormal";"US";"web"
"34";"Hawaii";68;"abnormal";"US";"web"
"35";"Illinois";68;"abnormal";"US";"web"
"36";"New York";68;"abnormal";"US";"web"
"37";"Minnesota";68;"abnormal";"US";"web"
"38";"Colorado";66;"abnormal";"US";"web"
"39";"District of Columbia";66;"abnormal";"US";"web"
"40";"Nevada";66;"abnormal";"US";"web"
"41";"Arizona";65;"abnormal";"US";"web"
"42";"Massachusetts";64;"abnormal";"US";"web"
"43";"Idaho";63;"abnormal";"US";"web"
"44";"California";61;"abnormal";"US";"web"
"45";"Connecticut";61;"abnormal";"US";"web"
"46";"Vermont";60;"abnormal";"US";"web"
"47";"Washington";60;"abnormal";"US";"web"
"48";"Maine";58;"abnormal";"US";"web"
"49";"Oregon";57;"abnormal";"US";"web"
"50";"New Hampshire";51;"abnormal";"US";"web"
"51";"Utah";50;"abnormal";"US";"web"
