"";"location";"hits";"keyword";"geo";"gprop"
"1";"Maine";100;"abuse";"US";"web"
"2";"West Virginia";96;"abuse";"US";"web"
"3";"Iowa";96;"abuse";"US";"web"
"4";"Wyoming";94;"abuse";"US";"web"
"5";"New Mexico";94;"abuse";"US";"web"
"6";"Vermont";94;"abuse";"US";"web"
"7";"Delaware";92;"abuse";"US";"web"
"8";"Alaska";89;"abuse";"US";"web"
"9";"North Dakota";88;"abuse";"US";"web"
"10";"Pennsylvania";86;"abuse";"US";"web"
"11";"Maryland";86;"abuse";"US";"web"
"12";"Montana";84;"abuse";"US";"web"
"13";"Minnesota";84;"abuse";"US";"web"
"14";"North Carolina";83;"abuse";"US";"web"
"15";"Missouri";81;"abuse";"US";"web"
"16";"Nebraska";81;"abuse";"US";"web"
"17";"South Dakota";81;"abuse";"US";"web"
"18";"Utah";80;"abuse";"US";"web"
"19";"Wisconsin";80;"abuse";"US";"web"
"20";"Kentucky";79;"abuse";"US";"web"
"21";"Michigan";79;"abuse";"US";"web"
"22";"Rhode Island";79;"abuse";"US";"web"
"23";"Arkansas";79;"abuse";"US";"web"
"24";"New Hampshire";78;"abuse";"US";"web"
"25";"Tennessee";78;"abuse";"US";"web"
"26";"Indiana";77;"abuse";"US";"web"
"27";"Arizona";76;"abuse";"US";"web"
"28";"Oklahoma";76;"abuse";"US";"web"
"29";"Hawaii";76;"abuse";"US";"web"
"30";"South Carolina";76;"abuse";"US";"web"
"31";"Idaho";75;"abuse";"US";"web"
"32";"District of Columbia";75;"abuse";"US";"web"
"33";"Mississippi";75;"abuse";"US";"web"
"34";"Massachusetts";74;"abuse";"US";"web"
"35";"Connecticut";73;"abuse";"US";"web"
"36";"Kansas";72;"abuse";"US";"web"
"37";"Alabama";72;"abuse";"US";"web"
"38";"Illinois";71;"abuse";"US";"web"
"39";"Colorado";71;"abuse";"US";"web"
"40";"Ohio";71;"abuse";"US";"web"
"41";"New Jersey";70;"abuse";"US";"web"
"42";"Louisiana";69;"abuse";"US";"web"
"43";"Florida";68;"abuse";"US";"web"
"44";"Washington";68;"abuse";"US";"web"
"45";"New York";67;"abuse";"US";"web"
"46";"California";66;"abuse";"US";"web"
"47";"Texas";63;"abuse";"US";"web"
"48";"Georgia";62;"abuse";"US";"web"
"49";"Nevada";61;"abuse";"US";"web"
"50";"Virginia";59;"abuse";"US";"web"
"51";"Oregon";50;"abuse";"US";"web"
