"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"affect";"US";"web"
"2";"Indiana";92;"affect";"US";"web"
"3";"Alabama";92;"affect";"US";"web"
"4";"Iowa";92;"affect";"US";"web"
"5";"New Mexico";91;"affect";"US";"web"
"6";"Arkansas";91;"affect";"US";"web"
"7";"Wyoming";90;"affect";"US";"web"
"8";"North Carolina";89;"affect";"US";"web"
"9";"Delaware";88;"affect";"US";"web"
"10";"Vermont";88;"affect";"US";"web"
"11";"South Carolina";88;"affect";"US";"web"
"12";"Mississippi";87;"affect";"US";"web"
"13";"Maryland";87;"affect";"US";"web"
"14";"Idaho";87;"affect";"US";"web"
"15";"Maine";87;"affect";"US";"web"
"16";"West Virginia";86;"affect";"US";"web"
"17";"North Dakota";86;"affect";"US";"web"
"18";"Connecticut";85;"affect";"US";"web"
"19";"Utah";84;"affect";"US";"web"
"20";"Missouri";83;"affect";"US";"web"
"21";"Ohio";82;"affect";"US";"web"
"22";"Michigan";81;"affect";"US";"web"
"23";"Arizona";81;"affect";"US";"web"
"24";"Kentucky";80;"affect";"US";"web"
"25";"Hawaii";80;"affect";"US";"web"
"26";"Florida";80;"affect";"US";"web"
"27";"Pennsylvania";80;"affect";"US";"web"
"28";"Rhode Island";80;"affect";"US";"web"
"29";"Tennessee";79;"affect";"US";"web"
"30";"Minnesota";79;"affect";"US";"web"
"31";"Nebraska";78;"affect";"US";"web"
"32";"Wisconsin";78;"affect";"US";"web"
"33";"Georgia";78;"affect";"US";"web"
"34";"Louisiana";77;"affect";"US";"web"
"35";"Oklahoma";77;"affect";"US";"web"
"36";"Montana";76;"affect";"US";"web"
"37";"Colorado";76;"affect";"US";"web"
"38";"Texas";76;"affect";"US";"web"
"39";"Alaska";75;"affect";"US";"web"
"40";"New Jersey";75;"affect";"US";"web"
"41";"New Hampshire";74;"affect";"US";"web"
"42";"California";74;"affect";"US";"web"
"43";"Illinois";73;"affect";"US";"web"
"44";"New York";72;"affect";"US";"web"
"45";"Washington";71;"affect";"US";"web"
"46";"Kansas";70;"affect";"US";"web"
"47";"Massachusetts";69;"affect";"US";"web"
"48";"Nevada";65;"affect";"US";"web"
"49";"Virginia";62;"affect";"US";"web"
"50";"District of Columbia";61;"affect";"US";"web"
"51";"Oregon";46;"affect";"US";"web"
