"";"location";"hits";"keyword";"geo";"gprop"
"1";"North Carolina";100;"alienation";"US";"web"
"2";"Connecticut";94;"alienation";"US";"web"
"3";"Mississippi";91;"alienation";"US";"web"
"4";"Alaska";91;"alienation";"US";"web"
"5";"Vermont";74;"alienation";"US";"web"
"6";"South Carolina";73;"alienation";"US";"web"
"7";"Maine";72;"alienation";"US";"web"
"8";"Delaware";70;"alienation";"US";"web"
"9";"Iowa";70;"alienation";"US";"web"
"10";"New Jersey";66;"alienation";"US";"web"
"11";"Pennsylvania";66;"alienation";"US";"web"
"12";"Wisconsin";64;"alienation";"US";"web"
"13";"New Mexico";64;"alienation";"US";"web"
"14";"Arizona";60;"alienation";"US";"web"
"15";"California";59;"alienation";"US";"web"
"16";"Georgia";59;"alienation";"US";"web"
"17";"Nebraska";59;"alienation";"US";"web"
"18";"Ohio";59;"alienation";"US";"web"
"19";"Indiana";59;"alienation";"US";"web"
"20";"North Dakota";58;"alienation";"US";"web"
"21";"Alabama";58;"alienation";"US";"web"
"22";"Nevada";57;"alienation";"US";"web"
"23";"New York";57;"alienation";"US";"web"
"24";"Massachusetts";57;"alienation";"US";"web"
"25";"District of Columbia";56;"alienation";"US";"web"
"26";"New Hampshire";55;"alienation";"US";"web"
"27";"Maryland";55;"alienation";"US";"web"
"28";"Tennessee";55;"alienation";"US";"web"
"29";"Rhode Island";55;"alienation";"US";"web"
"30";"Oklahoma";54;"alienation";"US";"web"
"31";"Minnesota";54;"alienation";"US";"web"
"32";"Illinois";53;"alienation";"US";"web"
"33";"Virginia";51;"alienation";"US";"web"
"34";"South Dakota";51;"alienation";"US";"web"
"35";"Kansas";50;"alienation";"US";"web"
"36";"Michigan";50;"alienation";"US";"web"
"37";"Arkansas";50;"alienation";"US";"web"
"38";"Kentucky";49;"alienation";"US";"web"
"39";"Florida";48;"alienation";"US";"web"
"40";"Louisiana";48;"alienation";"US";"web"
"41";"Montana";48;"alienation";"US";"web"
"42";"Washington";47;"alienation";"US";"web"
"43";"Utah";45;"alienation";"US";"web"
"44";"Idaho";44;"alienation";"US";"web"
"45";"Colorado";43;"alienation";"US";"web"
"46";"Missouri";43;"alienation";"US";"web"
"47";"Texas";42;"alienation";"US";"web"
"48";"Hawaii";39;"alienation";"US";"web"
"49";"Oregon";39;"alienation";"US";"web"
"50";"West Virginia";38;"alienation";"US";"web"
"51";"Wyoming";32;"alienation";"US";"web"
