"";"location";"hits";"keyword";"geo";"gprop"
"1";"Virginia";100;"alone";"US";"web"
"2";"West Virginia";84;"alone";"US";"web"
"3";"Alaska";81;"alone";"US";"web"
"4";"Nebraska";76;"alone";"US";"web"
"5";"Arkansas";76;"alone";"US";"web"
"6";"Mississippi";76;"alone";"US";"web"
"7";"Wyoming";73;"alone";"US";"web"
"8";"Idaho";73;"alone";"US";"web"
"9";"Tennessee";73;"alone";"US";"web"
"10";"Kentucky";73;"alone";"US";"web"
"11";"Utah";72;"alone";"US";"web"
"12";"Michigan";72;"alone";"US";"web"
"13";"Indiana";72;"alone";"US";"web"
"14";"South Carolina";72;"alone";"US";"web"
"15";"Ohio";71;"alone";"US";"web"
"16";"New York";71;"alone";"US";"web"
"17";"Rhode Island";71;"alone";"US";"web"
"18";"Illinois";71;"alone";"US";"web"
"19";"Alabama";71;"alone";"US";"web"
"20";"North Dakota";71;"alone";"US";"web"
"21";"Georgia";71;"alone";"US";"web"
"22";"New Jersey";71;"alone";"US";"web"
"23";"Maine";71;"alone";"US";"web"
"24";"Louisiana";70;"alone";"US";"web"
"25";"Delaware";70;"alone";"US";"web"
"26";"Iowa";70;"alone";"US";"web"
"27";"Pennsylvania";70;"alone";"US";"web"
"28";"Montana";70;"alone";"US";"web"
"29";"District of Columbia";70;"alone";"US";"web"
"30";"Washington";69;"alone";"US";"web"
"31";"Minnesota";69;"alone";"US";"web"
"32";"Texas";69;"alone";"US";"web"
"33";"Maryland";69;"alone";"US";"web"
"34";"Nevada";68;"alone";"US";"web"
"35";"New Hampshire";68;"alone";"US";"web"
"36";"New Mexico";67;"alone";"US";"web"
"37";"North Carolina";67;"alone";"US";"web"
"38";"Oklahoma";67;"alone";"US";"web"
"39";"Vermont";67;"alone";"US";"web"
"40";"Missouri";67;"alone";"US";"web"
"41";"Wisconsin";67;"alone";"US";"web"
"42";"California";67;"alone";"US";"web"
"43";"Arizona";67;"alone";"US";"web"
"44";"Colorado";66;"alone";"US";"web"
"45";"Connecticut";66;"alone";"US";"web"
"46";"Kansas";66;"alone";"US";"web"
"47";"Massachusetts";66;"alone";"US";"web"
"48";"Florida";66;"alone";"US";"web"
"49";"South Dakota";64;"alone";"US";"web"
"50";"Hawaii";63;"alone";"US";"web"
"51";"Oregon";61;"alone";"US";"web"
