"";"location";"hits";"keyword";"geo";"gprop"
"1";"Virginia";100;"alone";"US";"web"
"2";"West Virginia";100;"alone";"US";"web"
"3";"Arkansas";95;"alone";"US";"web"
"4";"Kentucky";95;"alone";"US";"web"
"5";"Indiana";94;"alone";"US";"web"
"6";"Tennessee";94;"alone";"US";"web"
"7";"Mississippi";94;"alone";"US";"web"
"8";"Pennsylvania";94;"alone";"US";"web"
"9";"Maine";92;"alone";"US";"web"
"10";"Alaska";92;"alone";"US";"web"
"11";"Michigan";91;"alone";"US";"web"
"12";"Alabama";91;"alone";"US";"web"
"13";"Illinois";90;"alone";"US";"web"
"14";"Oklahoma";90;"alone";"US";"web"
"15";"New York";90;"alone";"US";"web"
"16";"Vermont";90;"alone";"US";"web"
"17";"Georgia";90;"alone";"US";"web"
"18";"Rhode Island";89;"alone";"US";"web"
"19";"New Hampshire";89;"alone";"US";"web"
"20";"Louisiana";89;"alone";"US";"web"
"21";"Ohio";89;"alone";"US";"web"
"22";"Utah";89;"alone";"US";"web"
"23";"New Jersey";89;"alone";"US";"web"
"24";"Texas";89;"alone";"US";"web"
"25";"South Carolina";88;"alone";"US";"web"
"26";"New Mexico";88;"alone";"US";"web"
"27";"Kansas";88;"alone";"US";"web"
"28";"North Dakota";88;"alone";"US";"web"
"29";"South Dakota";88;"alone";"US";"web"
"30";"Montana";88;"alone";"US";"web"
"31";"Wyoming";88;"alone";"US";"web"
"32";"Missouri";88;"alone";"US";"web"
"33";"Connecticut";88;"alone";"US";"web"
"34";"Iowa";88;"alone";"US";"web"
"35";"Delaware";87;"alone";"US";"web"
"36";"Idaho";87;"alone";"US";"web"
"37";"Nebraska";87;"alone";"US";"web"
"38";"Nevada";87;"alone";"US";"web"
"39";"Massachusetts";87;"alone";"US";"web"
"40";"Wisconsin";87;"alone";"US";"web"
"41";"Minnesota";86;"alone";"US";"web"
"42";"Maryland";86;"alone";"US";"web"
"43";"North Carolina";85;"alone";"US";"web"
"44";"California";85;"alone";"US";"web"
"45";"Washington";85;"alone";"US";"web"
"46";"Arizona";84;"alone";"US";"web"
"47";"Florida";83;"alone";"US";"web"
"48";"Colorado";83;"alone";"US";"web"
"49";"District of Columbia";82;"alone";"US";"web"
"50";"Hawaii";81;"alone";"US";"web"
"51";"Oregon";77;"alone";"US";"web"
