"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"amenorrhea";"US";"web"
"2";"Vermont";83;"amenorrhea";"US";"web"
"3";"Connecticut";67;"amenorrhea";"US";"web"
"4";"Maryland";58;"amenorrhea";"US";"web"
"5";"South Dakota";58;"amenorrhea";"US";"web"
"6";"Virginia";57;"amenorrhea";"US";"web"
"7";"Pennsylvania";56;"amenorrhea";"US";"web"
"8";"Iowa";56;"amenorrhea";"US";"web"
"9";"Tennessee";56;"amenorrhea";"US";"web"
"10";"Kentucky";56;"amenorrhea";"US";"web"
"11";"Alabama";56;"amenorrhea";"US";"web"
"12";"Mississippi";55;"amenorrhea";"US";"web"
"13";"Arkansas";55;"amenorrhea";"US";"web"
"14";"Ohio";55;"amenorrhea";"US";"web"
"15";"New Mexico";54;"amenorrhea";"US";"web"
"16";"Idaho";52;"amenorrhea";"US";"web"
"17";"North Carolina";52;"amenorrhea";"US";"web"
"18";"New York";52;"amenorrhea";"US";"web"
"19";"Arizona";52;"amenorrhea";"US";"web"
"20";"New Jersey";52;"amenorrhea";"US";"web"
"21";"Utah";52;"amenorrhea";"US";"web"
"22";"Massachusetts";52;"amenorrhea";"US";"web"
"23";"Nebraska";51;"amenorrhea";"US";"web"
"24";"Florida";51;"amenorrhea";"US";"web"
"25";"Georgia";49;"amenorrhea";"US";"web"
"26";"Oklahoma";49;"amenorrhea";"US";"web"
"27";"Missouri";49;"amenorrhea";"US";"web"
"28";"North Dakota";49;"amenorrhea";"US";"web"
"29";"Nevada";49;"amenorrhea";"US";"web"
"30";"Michigan";49;"amenorrhea";"US";"web"
"31";"Louisiana";49;"amenorrhea";"US";"web"
"32";"Illinois";49;"amenorrhea";"US";"web"
"33";"Texas";48;"amenorrhea";"US";"web"
"34";"Oregon";47;"amenorrhea";"US";"web"
"35";"New Hampshire";47;"amenorrhea";"US";"web"
"36";"Indiana";47;"amenorrhea";"US";"web"
"37";"Hawaii";46;"amenorrhea";"US";"web"
"38";"Maine";44;"amenorrhea";"US";"web"
"39";"South Carolina";44;"amenorrhea";"US";"web"
"40";"District of Columbia";43;"amenorrhea";"US";"web"
"41";"Rhode Island";43;"amenorrhea";"US";"web"
"42";"Wisconsin";43;"amenorrhea";"US";"web"
"43";"Washington";42;"amenorrhea";"US";"web"
"44";"Delaware";40;"amenorrhea";"US";"web"
"45";"California";39;"amenorrhea";"US";"web"
"46";"Minnesota";39;"amenorrhea";"US";"web"
"47";"Colorado";38;"amenorrhea";"US";"web"
"48";"Montana";38;"amenorrhea";"US";"web"
"49";"Kansas";37;"amenorrhea";"US";"web"
"50";"Alaska";35;"amenorrhea";"US";"web"
"51";"Wyoming";32;"amenorrhea";"US";"web"
