"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"anguish";"US";"web"
"2";"Alabama";95;"anguish";"US";"web"
"3";"Rhode Island";90;"anguish";"US";"web"
"4";"Mississippi";89;"anguish";"US";"web"
"5";"West Virginia";86;"anguish";"US";"web"
"6";"Pennsylvania";75;"anguish";"US";"web"
"7";"Arizona";73;"anguish";"US";"web"
"8";"Texas";72;"anguish";"US";"web"
"9";"Tennessee";72;"anguish";"US";"web"
"10";"Nevada";71;"anguish";"US";"web"
"11";"Hawaii";70;"anguish";"US";"web"
"12";"Illinois";69;"anguish";"US";"web"
"13";"Ohio";69;"anguish";"US";"web"
"14";"Iowa";68;"anguish";"US";"web"
"15";"Michigan";68;"anguish";"US";"web"
"16";"Kentucky";68;"anguish";"US";"web"
"17";"Arkansas";67;"anguish";"US";"web"
"18";"Florida";66;"anguish";"US";"web"
"19";"Missouri";66;"anguish";"US";"web"
"20";"California";65;"anguish";"US";"web"
"21";"North Carolina";65;"anguish";"US";"web"
"22";"Colorado";65;"anguish";"US";"web"
"23";"Indiana";64;"anguish";"US";"web"
"24";"Wisconsin";64;"anguish";"US";"web"
"25";"North Dakota";63;"anguish";"US";"web"
"26";"Maine";62;"anguish";"US";"web"
"27";"Virginia";62;"anguish";"US";"web"
"28";"Kansas";62;"anguish";"US";"web"
"29";"Oklahoma";62;"anguish";"US";"web"
"30";"South Carolina";62;"anguish";"US";"web"
"31";"Massachusetts";61;"anguish";"US";"web"
"32";"New York";61;"anguish";"US";"web"
"33";"New Jersey";60;"anguish";"US";"web"
"34";"Nebraska";59;"anguish";"US";"web"
"35";"Maryland";59;"anguish";"US";"web"
"36";"Washington";59;"anguish";"US";"web"
"37";"Minnesota";59;"anguish";"US";"web"
"38";"Georgia";58;"anguish";"US";"web"
"39";"Louisiana";58;"anguish";"US";"web"
"40";"Connecticut";57;"anguish";"US";"web"
"41";"Montana";57;"anguish";"US";"web"
"42";"New Mexico";55;"anguish";"US";"web"
"43";"Idaho";54;"anguish";"US";"web"
"44";"Delaware";51;"anguish";"US";"web"
"45";"Vermont";49;"anguish";"US";"web"
"46";"Alaska";49;"anguish";"US";"web"
"47";"New Hampshire";48;"anguish";"US";"web"
"48";"Oregon";37;"anguish";"US";"web"
"49";"District of Columbia";33;"anguish";"US";"web"
"50";"South Dakota";30;"anguish";"US";"web"
