"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"antidepressant";"US";"web"
"2";"North Dakota";93;"antidepressant";"US";"web"
"3";"Montana";82;"antidepressant";"US";"web"
"4";"South Dakota";80;"antidepressant";"US";"web"
"5";"Kentucky";80;"antidepressant";"US";"web"
"6";"New Hampshire";78;"antidepressant";"US";"web"
"7";"Alaska";77;"antidepressant";"US";"web"
"8";"Kansas";71;"antidepressant";"US";"web"
"9";"Maine";68;"antidepressant";"US";"web"
"10";"Vermont";68;"antidepressant";"US";"web"
"11";"New Mexico";67;"antidepressant";"US";"web"
"12";"Iowa";67;"antidepressant";"US";"web"
"13";"Idaho";67;"antidepressant";"US";"web"
"14";"Tennessee";66;"antidepressant";"US";"web"
"15";"Alabama";66;"antidepressant";"US";"web"
"16";"Missouri";64;"antidepressant";"US";"web"
"17";"Nebraska";63;"antidepressant";"US";"web"
"18";"Connecticut";63;"antidepressant";"US";"web"
"19";"Pennsylvania";62;"antidepressant";"US";"web"
"20";"Indiana";62;"antidepressant";"US";"web"
"21";"Utah";62;"antidepressant";"US";"web"
"22";"Ohio";62;"antidepressant";"US";"web"
"23";"Louisiana";61;"antidepressant";"US";"web"
"24";"Oregon";61;"antidepressant";"US";"web"
"25";"Arkansas";61;"antidepressant";"US";"web"
"26";"Oklahoma";60;"antidepressant";"US";"web"
"27";"Washington";60;"antidepressant";"US";"web"
"28";"Virginia";59;"antidepressant";"US";"web"
"29";"Wisconsin";59;"antidepressant";"US";"web"
"30";"Colorado";58;"antidepressant";"US";"web"
"31";"Michigan";58;"antidepressant";"US";"web"
"32";"North Carolina";57;"antidepressant";"US";"web"
"33";"Mississippi";56;"antidepressant";"US";"web"
"34";"Massachusetts";55;"antidepressant";"US";"web"
"35";"Georgia";55;"antidepressant";"US";"web"
"36";"New York";54;"antidepressant";"US";"web"
"37";"Arizona";54;"antidepressant";"US";"web"
"38";"Minnesota";53;"antidepressant";"US";"web"
"39";"Florida";52;"antidepressant";"US";"web"
"40";"South Carolina";52;"antidepressant";"US";"web"
"41";"Maryland";51;"antidepressant";"US";"web"
"42";"Illinois";50;"antidepressant";"US";"web"
"43";"New Jersey";50;"antidepressant";"US";"web"
"44";"Wyoming";49;"antidepressant";"US";"web"
"45";"Delaware";48;"antidepressant";"US";"web"
"46";"District of Columbia";47;"antidepressant";"US";"web"
"47";"Texas";47;"antidepressant";"US";"web"
"48";"Hawaii";47;"antidepressant";"US";"web"
"49";"California";46;"antidepressant";"US";"web"
"50";"Nevada";45;"antidepressant";"US";"web"
"51";"Rhode Island";41;"antidepressant";"US";"web"
