"";"location";"hits";"keyword";"geo";"gprop"
"1";"North Dakota";100;"attention";"US";"web"
"2";"Mississippi";98;"attention";"US";"web"
"3";"Arkansas";98;"attention";"US";"web"
"4";"Hawaii";97;"attention";"US";"web"
"5";"Indiana";97;"attention";"US";"web"
"6";"Delaware";91;"attention";"US";"web"
"7";"Connecticut";91;"attention";"US";"web"
"8";"Alabama";90;"attention";"US";"web"
"9";"West Virginia";89;"attention";"US";"web"
"10";"South Dakota";88;"attention";"US";"web"
"11";"Iowa";88;"attention";"US";"web"
"12";"Idaho";87;"attention";"US";"web"
"13";"Maryland";87;"attention";"US";"web"
"14";"Wisconsin";87;"attention";"US";"web"
"15";"North Carolina";87;"attention";"US";"web"
"16";"Louisiana";86;"attention";"US";"web"
"17";"Pennsylvania";86;"attention";"US";"web"
"18";"South Carolina";86;"attention";"US";"web"
"19";"Nebraska";86;"attention";"US";"web"
"20";"Michigan";85;"attention";"US";"web"
"21";"Kansas";85;"attention";"US";"web"
"22";"New Mexico";85;"attention";"US";"web"
"23";"Rhode Island";85;"attention";"US";"web"
"24";"Massachusetts";84;"attention";"US";"web"
"25";"Illinois";84;"attention";"US";"web"
"26";"New Jersey";83;"attention";"US";"web"
"27";"Kentucky";83;"attention";"US";"web"
"28";"Arizona";83;"attention";"US";"web"
"29";"Ohio";82;"attention";"US";"web"
"30";"New York";82;"attention";"US";"web"
"31";"Missouri";82;"attention";"US";"web"
"32";"Tennessee";82;"attention";"US";"web"
"33";"California";82;"attention";"US";"web"
"34";"Georgia";82;"attention";"US";"web"
"35";"Utah";82;"attention";"US";"web"
"36";"Minnesota";81;"attention";"US";"web"
"37";"Virginia";80;"attention";"US";"web"
"38";"Oklahoma";80;"attention";"US";"web"
"39";"Florida";80;"attention";"US";"web"
"40";"Alaska";79;"attention";"US";"web"
"41";"Texas";79;"attention";"US";"web"
"42";"District of Columbia";78;"attention";"US";"web"
"43";"Maine";78;"attention";"US";"web"
"44";"Nevada";76;"attention";"US";"web"
"45";"New Hampshire";75;"attention";"US";"web"
"46";"Vermont";75;"attention";"US";"web"
"47";"Colorado";74;"attention";"US";"web"
"48";"Washington";72;"attention";"US";"web"
"49";"Wyoming";68;"attention";"US";"web"
"50";"Montana";66;"attention";"US";"web"
"51";"Oregon";63;"attention";"US";"web"
