"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"brain";"US";"web"
"2";"Nebraska";96;"brain";"US";"web"
"3";"New Mexico";94;"brain";"US";"web"
"4";"Vermont";92;"brain";"US";"web"
"5";"Maine";92;"brain";"US";"web"
"6";"West Virginia";91;"brain";"US";"web"
"7";"Indiana";91;"brain";"US";"web"
"8";"Wyoming";89;"brain";"US";"web"
"9";"Idaho";88;"brain";"US";"web"
"10";"Iowa";88;"brain";"US";"web"
"11";"Arkansas";87;"brain";"US";"web"
"12";"Tennessee";86;"brain";"US";"web"
"13";"Pennsylvania";86;"brain";"US";"web"
"14";"Maryland";85;"brain";"US";"web"
"15";"Mississippi";85;"brain";"US";"web"
"16";"Alabama";85;"brain";"US";"web"
"17";"South Carolina";84;"brain";"US";"web"
"18";"Arizona";84;"brain";"US";"web"
"19";"Kentucky";83;"brain";"US";"web"
"20";"New Hampshire";83;"brain";"US";"web"
"21";"Oregon";83;"brain";"US";"web"
"22";"North Carolina";82;"brain";"US";"web"
"23";"Wisconsin";82;"brain";"US";"web"
"24";"Oklahoma";81;"brain";"US";"web"
"25";"North Dakota";81;"brain";"US";"web"
"26";"Massachusetts";81;"brain";"US";"web"
"27";"Minnesota";80;"brain";"US";"web"
"28";"Ohio";80;"brain";"US";"web"
"29";"Montana";80;"brain";"US";"web"
"30";"Virginia";80;"brain";"US";"web"
"31";"Rhode Island";79;"brain";"US";"web"
"32";"Utah";79;"brain";"US";"web"
"33";"Connecticut";78;"brain";"US";"web"
"34";"Colorado";78;"brain";"US";"web"
"35";"Nevada";78;"brain";"US";"web"
"36";"Kansas";78;"brain";"US";"web"
"37";"Alaska";78;"brain";"US";"web"
"38";"Michigan";78;"brain";"US";"web"
"39";"Delaware";77;"brain";"US";"web"
"40";"New Jersey";77;"brain";"US";"web"
"41";"Missouri";77;"brain";"US";"web"
"42";"Louisiana";77;"brain";"US";"web"
"43";"Florida";76;"brain";"US";"web"
"44";"New York";75;"brain";"US";"web"
"45";"Washington";75;"brain";"US";"web"
"46";"California";74;"brain";"US";"web"
"47";"Texas";73;"brain";"US";"web"
"48";"Illinois";73;"brain";"US";"web"
"49";"Georgia";72;"brain";"US";"web"
"50";"Hawaii";70;"brain";"US";"web"
"51";"District of Columbia";63;"brain";"US";"web"
