"";"location";"hits";"keyword";"geo";"gprop"
"1";"Illinois";100;"certify";"US";"web"
"2";"Maine";42;"certify";"US";"web"
"3";"Texas";31;"certify";"US";"web"
"4";"Hawaii";30;"certify";"US";"web"
"5";"Alaska";27;"certify";"US";"web"
"6";"Tennessee";25;"certify";"US";"web"
"7";"Florida";25;"certify";"US";"web"
"8";"California";24;"certify";"US";"web"
"9";"Connecticut";24;"certify";"US";"web"
"10";"Washington";23;"certify";"US";"web"
"11";"Indiana";23;"certify";"US";"web"
"12";"Utah";23;"certify";"US";"web"
"13";"Ohio";23;"certify";"US";"web"
"14";"Idaho";23;"certify";"US";"web"
"15";"New Mexico";22;"certify";"US";"web"
"16";"District of Columbia";22;"certify";"US";"web"
"17";"Nebraska";22;"certify";"US";"web"
"18";"Nevada";22;"certify";"US";"web"
"19";"North Dakota";22;"certify";"US";"web"
"20";"Colorado";22;"certify";"US";"web"
"21";"Arizona";22;"certify";"US";"web"
"22";"New York";21;"certify";"US";"web"
"23";"Georgia";21;"certify";"US";"web"
"24";"North Carolina";21;"certify";"US";"web"
"25";"Maryland";21;"certify";"US";"web"
"26";"Michigan";21;"certify";"US";"web"
"27";"West Virginia";20;"certify";"US";"web"
"28";"New Jersey";20;"certify";"US";"web"
"29";"Missouri";19;"certify";"US";"web"
"30";"Minnesota";19;"certify";"US";"web"
"31";"Massachusetts";19;"certify";"US";"web"
"32";"Kentucky";18;"certify";"US";"web"
"33";"Pennsylvania";17;"certify";"US";"web"
"34";"Montana";17;"certify";"US";"web"
"35";"Oklahoma";17;"certify";"US";"web"
"36";"Rhode Island";16;"certify";"US";"web"
"37";"Arkansas";16;"certify";"US";"web"
"38";"Wisconsin";15;"certify";"US";"web"
"39";"South Dakota";15;"certify";"US";"web"
"40";"South Carolina";15;"certify";"US";"web"
"41";"Louisiana";15;"certify";"US";"web"
"42";"Kansas";15;"certify";"US";"web"
"43";"Vermont";15;"certify";"US";"web"
"44";"Alabama";15;"certify";"US";"web"
"45";"Delaware";14;"certify";"US";"web"
"46";"Virginia";13;"certify";"US";"web"
"47";"Iowa";13;"certify";"US";"web"
"48";"New Hampshire";12;"certify";"US";"web"
"49";"Mississippi";11;"certify";"US";"web"
"50";"Oregon";10;"certify";"US";"web"
