"";"location";"hits";"keyword";"geo";"gprop"
"1";"Virginia";100;"clarity";"US";"web"
"2";"Rhode Island";88;"clarity";"US";"web"
"3";"New Jersey";84;"clarity";"US";"web"
"4";"Delaware";84;"clarity";"US";"web"
"5";"Maryland";83;"clarity";"US";"web"
"6";"Colorado";81;"clarity";"US";"web"
"7";"North Dakota";78;"clarity";"US";"web"
"8";"Minnesota";78;"clarity";"US";"web"
"9";"Utah";78;"clarity";"US";"web"
"10";"Wisconsin";76;"clarity";"US";"web"
"11";"Massachusetts";75;"clarity";"US";"web"
"12";"Nebraska";75;"clarity";"US";"web"
"13";"California";75;"clarity";"US";"web"
"14";"Iowa";74;"clarity";"US";"web"
"15";"Connecticut";70;"clarity";"US";"web"
"16";"Alaska";70;"clarity";"US";"web"
"17";"Pennsylvania";69;"clarity";"US";"web"
"18";"North Carolina";68;"clarity";"US";"web"
"19";"New York";68;"clarity";"US";"web"
"20";"Washington";68;"clarity";"US";"web"
"21";"Arkansas";67;"clarity";"US";"web"
"22";"Idaho";67;"clarity";"US";"web"
"23";"Ohio";67;"clarity";"US";"web"
"24";"Tennessee";66;"clarity";"US";"web"
"25";"New Hampshire";66;"clarity";"US";"web"
"26";"Illinois";65;"clarity";"US";"web"
"27";"Hawaii";65;"clarity";"US";"web"
"28";"Arizona";65;"clarity";"US";"web"
"29";"Oregon";65;"clarity";"US";"web"
"30";"Indiana";65;"clarity";"US";"web"
"31";"Alabama";65;"clarity";"US";"web"
"32";"District of Columbia";64;"clarity";"US";"web"
"33";"Nevada";64;"clarity";"US";"web"
"34";"Georgia";64;"clarity";"US";"web"
"35";"South Carolina";63;"clarity";"US";"web"
"36";"Missouri";61;"clarity";"US";"web"
"37";"Michigan";61;"clarity";"US";"web"
"38";"Texas";61;"clarity";"US";"web"
"39";"Florida";60;"clarity";"US";"web"
"40";"Oklahoma";60;"clarity";"US";"web"
"41";"West Virginia";58;"clarity";"US";"web"
"42";"Maine";55;"clarity";"US";"web"
"43";"Kentucky";53;"clarity";"US";"web"
"44";"Louisiana";51;"clarity";"US";"web"
"45";"Kansas";50;"clarity";"US";"web"
"46";"Wyoming";49;"clarity";"US";"web"
"47";"New Mexico";48;"clarity";"US";"web"
"48";"Vermont";44;"clarity";"US";"web"
"49";"South Dakota";41;"clarity";"US";"web"
"50";"Mississippi";33;"clarity";"US";"web"
"51";"Montana";24;"clarity";"US";"web"
