"";"location";"hits";"keyword";"geo";"gprop"
"1";"District of Columbia";100;"concern";"US";"web"
"2";"Maryland";92;"concern";"US";"web"
"3";"New York";90;"concern";"US";"web"
"4";"South Dakota";87;"concern";"US";"web"
"5";"Arkansas";86;"concern";"US";"web"
"6";"Massachusetts";85;"concern";"US";"web"
"7";"Indiana";84;"concern";"US";"web"
"8";"Delaware";84;"concern";"US";"web"
"9";"Washington";83;"concern";"US";"web"
"10";"Pennsylvania";83;"concern";"US";"web"
"11";"Rhode Island";81;"concern";"US";"web"
"12";"New Jersey";80;"concern";"US";"web"
"13";"Idaho";79;"concern";"US";"web"
"14";"Florida";79;"concern";"US";"web"
"15";"California";79;"concern";"US";"web"
"16";"Illinois";77;"concern";"US";"web"
"17";"Oregon";77;"concern";"US";"web"
"18";"Missouri";76;"concern";"US";"web"
"19";"Nevada";76;"concern";"US";"web"
"20";"Wisconsin";75;"concern";"US";"web"
"21";"South Carolina";74;"concern";"US";"web"
"22";"Connecticut";74;"concern";"US";"web"
"23";"Texas";73;"concern";"US";"web"
"24";"Alabama";73;"concern";"US";"web"
"25";"Vermont";73;"concern";"US";"web"
"26";"Utah";73;"concern";"US";"web"
"27";"North Carolina";71;"concern";"US";"web"
"28";"Michigan";71;"concern";"US";"web"
"29";"New Mexico";70;"concern";"US";"web"
"30";"Montana";70;"concern";"US";"web"
"31";"Arizona";69;"concern";"US";"web"
"32";"North Dakota";69;"concern";"US";"web"
"33";"Louisiana";69;"concern";"US";"web"
"34";"Ohio";68;"concern";"US";"web"
"35";"Iowa";67;"concern";"US";"web"
"36";"Virginia";67;"concern";"US";"web"
"37";"Colorado";66;"concern";"US";"web"
"38";"Oklahoma";66;"concern";"US";"web"
"39";"New Hampshire";65;"concern";"US";"web"
"40";"Tennessee";65;"concern";"US";"web"
"41";"Nebraska";65;"concern";"US";"web"
"42";"Maine";64;"concern";"US";"web"
"43";"Hawaii";64;"concern";"US";"web"
"44";"Georgia";62;"concern";"US";"web"
"45";"Minnesota";61;"concern";"US";"web"
"46";"Wyoming";61;"concern";"US";"web"
"47";"Mississippi";60;"concern";"US";"web"
"48";"Kentucky";60;"concern";"US";"web"
"49";"Kansas";58;"concern";"US";"web"
"50";"Alaska";57;"concern";"US";"web"
"51";"West Virginia";52;"concern";"US";"web"
