"";"location";"hits";"keyword";"geo";"gprop"
"1";"Oregon";100;"concern";"US";"web"
"2";"Maryland";90;"concern";"US";"web"
"3";"District of Columbia";86;"concern";"US";"web"
"4";"New York";80;"concern";"US";"web"
"5";"New Jersey";78;"concern";"US";"web"
"6";"Delaware";78;"concern";"US";"web"
"7";"Indiana";77;"concern";"US";"web"
"8";"Pennsylvania";76;"concern";"US";"web"
"9";"Massachusetts";76;"concern";"US";"web"
"10";"Iowa";75;"concern";"US";"web"
"11";"Idaho";75;"concern";"US";"web"
"12";"South Dakota";74;"concern";"US";"web"
"13";"North Carolina";74;"concern";"US";"web"
"14";"Wyoming";74;"concern";"US";"web"
"15";"Connecticut";74;"concern";"US";"web"
"16";"Arkansas";74;"concern";"US";"web"
"17";"California";74;"concern";"US";"web"
"18";"Montana";73;"concern";"US";"web"
"19";"Alaska";73;"concern";"US";"web"
"20";"Washington";72;"concern";"US";"web"
"21";"Alabama";72;"concern";"US";"web"
"22";"Missouri";71;"concern";"US";"web"
"23";"Illinois";71;"concern";"US";"web"
"24";"Florida";71;"concern";"US";"web"
"25";"Hawaii";71;"concern";"US";"web"
"26";"Virginia";70;"concern";"US";"web"
"27";"Mississippi";70;"concern";"US";"web"
"28";"Arizona";69;"concern";"US";"web"
"29";"West Virginia";69;"concern";"US";"web"
"30";"Michigan";68;"concern";"US";"web"
"31";"New Mexico";68;"concern";"US";"web"
"32";"Ohio";67;"concern";"US";"web"
"33";"Colorado";67;"concern";"US";"web"
"34";"Wisconsin";67;"concern";"US";"web"
"35";"Oklahoma";66;"concern";"US";"web"
"36";"Kansas";66;"concern";"US";"web"
"37";"Vermont";66;"concern";"US";"web"
"38";"South Carolina";65;"concern";"US";"web"
"39";"Maine";65;"concern";"US";"web"
"40";"Nebraska";65;"concern";"US";"web"
"41";"Texas";64;"concern";"US";"web"
"42";"North Dakota";64;"concern";"US";"web"
"43";"Minnesota";64;"concern";"US";"web"
"44";"Georgia";63;"concern";"US";"web"
"45";"Utah";63;"concern";"US";"web"
"46";"Tennessee";63;"concern";"US";"web"
"47";"Rhode Island";63;"concern";"US";"web"
"48";"Kentucky";63;"concern";"US";"web"
"49";"Nevada";63;"concern";"US";"web"
"50";"Louisiana";62;"concern";"US";"web"
"51";"New Hampshire";57;"concern";"US";"web"
