"";"location";"hits";"keyword";"geo";"gprop"
"1";"Delaware";100;"condition";"US";"web"
"2";"South Dakota";94;"condition";"US";"web"
"3";"Arkansas";93;"condition";"US";"web"
"4";"Alabama";93;"condition";"US";"web"
"5";"Louisiana";92;"condition";"US";"web"
"6";"Mississippi";92;"condition";"US";"web"
"7";"Virginia";92;"condition";"US";"web"
"8";"South Carolina";92;"condition";"US";"web"
"9";"North Carolina";91;"condition";"US";"web"
"10";"Maryland";90;"condition";"US";"web"
"11";"West Virginia";90;"condition";"US";"web"
"12";"Georgia";87;"condition";"US";"web"
"13";"Pennsylvania";87;"condition";"US";"web"
"14";"Missouri";87;"condition";"US";"web"
"15";"North Dakota";87;"condition";"US";"web"
"16";"Indiana";87;"condition";"US";"web"
"17";"Minnesota";86;"condition";"US";"web"
"18";"Kentucky";86;"condition";"US";"web"
"19";"New Jersey";85;"condition";"US";"web"
"20";"Montana";85;"condition";"US";"web"
"21";"Michigan";85;"condition";"US";"web"
"22";"Arizona";85;"condition";"US";"web"
"23";"Texas";83;"condition";"US";"web"
"24";"California";83;"condition";"US";"web"
"25";"District of Columbia";83;"condition";"US";"web"
"26";"Alaska";82;"condition";"US";"web"
"27";"Idaho";82;"condition";"US";"web"
"28";"Tennessee";82;"condition";"US";"web"
"29";"Oregon";82;"condition";"US";"web"
"30";"Colorado";82;"condition";"US";"web"
"31";"Kansas";81;"condition";"US";"web"
"32";"Connecticut";81;"condition";"US";"web"
"33";"New Mexico";81;"condition";"US";"web"
"34";"Iowa";81;"condition";"US";"web"
"35";"Florida";81;"condition";"US";"web"
"36";"Vermont";81;"condition";"US";"web"
"37";"Oklahoma";81;"condition";"US";"web"
"38";"Nevada";80;"condition";"US";"web"
"39";"Massachusetts";80;"condition";"US";"web"
"40";"Ohio";80;"condition";"US";"web"
"41";"Illinois";80;"condition";"US";"web"
"42";"Washington";79;"condition";"US";"web"
"43";"New York";79;"condition";"US";"web"
"44";"Utah";78;"condition";"US";"web"
"45";"Hawaii";78;"condition";"US";"web"
"46";"Wyoming";77;"condition";"US";"web"
"47";"Maine";76;"condition";"US";"web"
"48";"Nebraska";75;"condition";"US";"web"
"49";"Wisconsin";74;"condition";"US";"web"
"50";"Rhode Island";72;"condition";"US";"web"
"51";"New Hampshire";72;"condition";"US";"web"
