"";"location";"hits";"keyword";"geo";"gprop"
"1";"Nevada";100;"confide";"US";"web"
"2";"Maine";90;"confide";"US";"web"
"3";"Kansas";87;"confide";"US";"web"
"4";"Rhode Island";84;"confide";"US";"web"
"5";"Iowa";80;"confide";"US";"web"
"6";"New Hampshire";68;"confide";"US";"web"
"7";"New Mexico";68;"confide";"US";"web"
"8";"Alabama";65;"confide";"US";"web"
"9";"Utah";64;"confide";"US";"web"
"10";"Missouri";64;"confide";"US";"web"
"11";"California";63;"confide";"US";"web"
"12";"Hawaii";63;"confide";"US";"web"
"13";"Oklahoma";62;"confide";"US";"web"
"14";"Alaska";60;"confide";"US";"web"
"15";"Kentucky";60;"confide";"US";"web"
"16";"Connecticut";60;"confide";"US";"web"
"17";"Arkansas";59;"confide";"US";"web"
"18";"Louisiana";58;"confide";"US";"web"
"19";"Florida";58;"confide";"US";"web"
"20";"Arizona";57;"confide";"US";"web"
"21";"New York";56;"confide";"US";"web"
"22";"Ohio";56;"confide";"US";"web"
"23";"New Jersey";54;"confide";"US";"web"
"24";"Massachusetts";53;"confide";"US";"web"
"25";"Idaho";52;"confide";"US";"web"
"26";"South Carolina";51;"confide";"US";"web"
"27";"Texas";51;"confide";"US";"web"
"28";"Indiana";50;"confide";"US";"web"
"29";"Michigan";50;"confide";"US";"web"
"30";"North Carolina";50;"confide";"US";"web"
"31";"Vermont";49;"confide";"US";"web"
"32";"Pennsylvania";48;"confide";"US";"web"
"33";"Illinois";48;"confide";"US";"web"
"34";"Wisconsin";47;"confide";"US";"web"
"35";"Virginia";47;"confide";"US";"web"
"36";"Colorado";45;"confide";"US";"web"
"37";"Georgia";43;"confide";"US";"web"
"38";"Montana";43;"confide";"US";"web"
"39";"Delaware";42;"confide";"US";"web"
"40";"Minnesota";41;"confide";"US";"web"
"41";"Oregon";39;"confide";"US";"web"
"42";"Maryland";38;"confide";"US";"web"
"43";"Mississippi";37;"confide";"US";"web"
"44";"District of Columbia";36;"confide";"US";"web"
"45";"Nebraska";34;"confide";"US";"web"
"46";"Washington";34;"confide";"US";"web"
"47";"Tennessee";26;"confide";"US";"web"
"48";"West Virginia";15;"confide";"US";"web"
