"";"location";"hits";"keyword";"geo";"gprop"
"1";"Hawaii";100;"cure";"US";"web"
"2";"Maine";92;"cure";"US";"web"
"3";"Arkansas";91;"cure";"US";"web"
"4";"New Jersey";89;"cure";"US";"web"
"5";"Louisiana";86;"cure";"US";"web"
"6";"Nevada";86;"cure";"US";"web"
"7";"California";85;"cure";"US";"web"
"8";"Idaho";84;"cure";"US";"web"
"9";"Mississippi";84;"cure";"US";"web"
"10";"Alaska";84;"cure";"US";"web"
"11";"Pennsylvania";83;"cure";"US";"web"
"12";"Colorado";83;"cure";"US";"web"
"13";"Oklahoma";83;"cure";"US";"web"
"14";"Texas";82;"cure";"US";"web"
"15";"Washington";82;"cure";"US";"web"
"16";"Arizona";82;"cure";"US";"web"
"17";"West Virginia";82;"cure";"US";"web"
"18";"Georgia";82;"cure";"US";"web"
"19";"Florida";82;"cure";"US";"web"
"20";"Montana";81;"cure";"US";"web"
"21";"Missouri";81;"cure";"US";"web"
"22";"Tennessee";81;"cure";"US";"web"
"23";"Michigan";80;"cure";"US";"web"
"24";"New York";80;"cure";"US";"web"
"25";"Illinois";79;"cure";"US";"web"
"26";"New Mexico";79;"cure";"US";"web"
"27";"North Dakota";79;"cure";"US";"web"
"28";"Alabama";79;"cure";"US";"web"
"29";"Kentucky";79;"cure";"US";"web"
"30";"Maryland";79;"cure";"US";"web"
"31";"Connecticut";79;"cure";"US";"web"
"32";"District of Columbia";78;"cure";"US";"web"
"33";"Wisconsin";78;"cure";"US";"web"
"34";"Iowa";78;"cure";"US";"web"
"35";"Delaware";78;"cure";"US";"web"
"36";"Indiana";78;"cure";"US";"web"
"37";"Utah";77;"cure";"US";"web"
"38";"New Hampshire";77;"cure";"US";"web"
"39";"Vermont";77;"cure";"US";"web"
"40";"South Dakota";77;"cure";"US";"web"
"41";"Massachusetts";76;"cure";"US";"web"
"42";"Kansas";76;"cure";"US";"web"
"43";"Nebraska";76;"cure";"US";"web"
"44";"Ohio";76;"cure";"US";"web"
"45";"Wyoming";75;"cure";"US";"web"
"46";"Minnesota";75;"cure";"US";"web"
"47";"Rhode Island";75;"cure";"US";"web"
"48";"South Carolina";74;"cure";"US";"web"
"49";"North Carolina";74;"cure";"US";"web"
"50";"Virginia";72;"cure";"US";"web"
"51";"Oregon";71;"cure";"US";"web"
