"";"location";"hits";"keyword";"geo";"gprop"
"1";"Tennessee";100;"defeated";"US";"web"
"2";"Alabama";82;"defeated";"US";"web"
"3";"Indiana";77;"defeated";"US";"web"
"4";"Arkansas";76;"defeated";"US";"web"
"5";"Louisiana";73;"defeated";"US";"web"
"6";"West Virginia";68;"defeated";"US";"web"
"7";"Mississippi";68;"defeated";"US";"web"
"8";"North Carolina";66;"defeated";"US";"web"
"9";"Oklahoma";66;"defeated";"US";"web"
"10";"South Dakota";66;"defeated";"US";"web"
"11";"Alaska";65;"defeated";"US";"web"
"12";"Iowa";64;"defeated";"US";"web"
"13";"Kansas";63;"defeated";"US";"web"
"14";"Kentucky";62;"defeated";"US";"web"
"15";"Georgia";61;"defeated";"US";"web"
"16";"Pennsylvania";60;"defeated";"US";"web"
"17";"New Mexico";60;"defeated";"US";"web"
"18";"Ohio";59;"defeated";"US";"web"
"19";"Missouri";59;"defeated";"US";"web"
"20";"Texas";58;"defeated";"US";"web"
"21";"Idaho";57;"defeated";"US";"web"
"22";"Wyoming";57;"defeated";"US";"web"
"23";"South Carolina";56;"defeated";"US";"web"
"24";"New Jersey";56;"defeated";"US";"web"
"25";"Arizona";55;"defeated";"US";"web"
"26";"Florida";55;"defeated";"US";"web"
"27";"Rhode Island";55;"defeated";"US";"web"
"28";"Vermont";54;"defeated";"US";"web"
"29";"Minnesota";54;"defeated";"US";"web"
"30";"Maine";54;"defeated";"US";"web"
"31";"Maryland";54;"defeated";"US";"web"
"32";"Nebraska";53;"defeated";"US";"web"
"33";"Michigan";53;"defeated";"US";"web"
"34";"Nevada";53;"defeated";"US";"web"
"35";"Delaware";52;"defeated";"US";"web"
"36";"North Dakota";52;"defeated";"US";"web"
"37";"California";52;"defeated";"US";"web"
"38";"New York";51;"defeated";"US";"web"
"39";"New Hampshire";49;"defeated";"US";"web"
"40";"Virginia";48;"defeated";"US";"web"
"41";"Wisconsin";48;"defeated";"US";"web"
"42";"Illinois";47;"defeated";"US";"web"
"43";"District of Columbia";47;"defeated";"US";"web"
"44";"Hawaii";46;"defeated";"US";"web"
"45";"Montana";45;"defeated";"US";"web"
"46";"Connecticut";45;"defeated";"US";"web"
"47";"Colorado";45;"defeated";"US";"web"
"48";"Massachusetts";44;"defeated";"US";"web"
"49";"Utah";44;"defeated";"US";"web"
"50";"Washington";43;"defeated";"US";"web"
"51";"Oregon";33;"defeated";"US";"web"
