"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"depression";"US";"web"
"2";"Maine";98;"depression";"US";"web"
"3";"South Dakota";98;"depression";"US";"web"
"4";"New Hampshire";96;"depression";"US";"web"
"5";"North Dakota";94;"depression";"US";"web"
"6";"Indiana";94;"depression";"US";"web"
"7";"Arkansas";93;"depression";"US";"web"
"8";"Pennsylvania";93;"depression";"US";"web"
"9";"Vermont";93;"depression";"US";"web"
"10";"Idaho";93;"depression";"US";"web"
"11";"Rhode Island";92;"depression";"US";"web"
"12";"Iowa";92;"depression";"US";"web"
"13";"Connecticut";92;"depression";"US";"web"
"14";"Kentucky";92;"depression";"US";"web"
"15";"Minnesota";91;"depression";"US";"web"
"16";"Utah";91;"depression";"US";"web"
"17";"Ohio";91;"depression";"US";"web"
"18";"Wisconsin";91;"depression";"US";"web"
"19";"Mississippi";91;"depression";"US";"web"
"20";"Michigan";90;"depression";"US";"web"
"21";"Missouri";90;"depression";"US";"web"
"22";"New Mexico";89;"depression";"US";"web"
"23";"South Carolina";88;"depression";"US";"web"
"24";"Oklahoma";88;"depression";"US";"web"
"25";"Montana";87;"depression";"US";"web"
"26";"Maryland";87;"depression";"US";"web"
"27";"Alabama";87;"depression";"US";"web"
"28";"Virginia";86;"depression";"US";"web"
"29";"Nebraska";86;"depression";"US";"web"
"30";"Massachusetts";86;"depression";"US";"web"
"31";"New Jersey";85;"depression";"US";"web"
"32";"Alaska";84;"depression";"US";"web"
"33";"Kansas";84;"depression";"US";"web"
"34";"Arizona";84;"depression";"US";"web"
"35";"North Carolina";84;"depression";"US";"web"
"36";"Tennessee";84;"depression";"US";"web"
"37";"Louisiana";83;"depression";"US";"web"
"38";"Illinois";83;"depression";"US";"web"
"39";"Wyoming";83;"depression";"US";"web"
"40";"Colorado";83;"depression";"US";"web"
"41";"Oregon";83;"depression";"US";"web"
"42";"Delaware";82;"depression";"US";"web"
"43";"Washington";82;"depression";"US";"web"
"44";"Georgia";79;"depression";"US";"web"
"45";"New York";79;"depression";"US";"web"
"46";"California";77;"depression";"US";"web"
"47";"Texas";76;"depression";"US";"web"
"48";"Hawaii";76;"depression";"US";"web"
"49";"Florida";75;"depression";"US";"web"
"50";"District of Columbia";71;"depression";"US";"web"
"51";"Nevada";71;"depression";"US";"web"
