"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alaska";100;"desolate";"US";"web"
"2";"Hawaii";85;"desolate";"US";"web"
"3";"Alabama";84;"desolate";"US";"web"
"4";"Nevada";83;"desolate";"US";"web"
"5";"New Jersey";81;"desolate";"US";"web"
"6";"California";80;"desolate";"US";"web"
"7";"North Carolina";79;"desolate";"US";"web"
"8";"Indiana";78;"desolate";"US";"web"
"9";"Pennsylvania";77;"desolate";"US";"web"
"10";"Missouri";75;"desolate";"US";"web"
"11";"Illinois";75;"desolate";"US";"web"
"12";"Ohio";74;"desolate";"US";"web"
"13";"Michigan";74;"desolate";"US";"web"
"14";"Florida";73;"desolate";"US";"web"
"15";"Connecticut";73;"desolate";"US";"web"
"16";"Georgia";73;"desolate";"US";"web"
"17";"Tennessee";73;"desolate";"US";"web"
"18";"Texas";71;"desolate";"US";"web"
"19";"Virginia";70;"desolate";"US";"web"
"20";"Kentucky";70;"desolate";"US";"web"
"21";"Maryland";69;"desolate";"US";"web"
"22";"West Virginia";68;"desolate";"US";"web"
"23";"Arizona";68;"desolate";"US";"web"
"24";"Kansas";68;"desolate";"US";"web"
"25";"Wisconsin";68;"desolate";"US";"web"
"26";"Louisiana";67;"desolate";"US";"web"
"27";"New York";67;"desolate";"US";"web"
"28";"Arkansas";65;"desolate";"US";"web"
"29";"Massachusetts";65;"desolate";"US";"web"
"30";"South Carolina";64;"desolate";"US";"web"
"31";"North Dakota";64;"desolate";"US";"web"
"32";"Oklahoma";64;"desolate";"US";"web"
"33";"District of Columbia";64;"desolate";"US";"web"
"34";"Rhode Island";62;"desolate";"US";"web"
"35";"Minnesota";61;"desolate";"US";"web"
"36";"Idaho";61;"desolate";"US";"web"
"37";"Washington";61;"desolate";"US";"web"
"38";"New Mexico";58;"desolate";"US";"web"
"39";"Mississippi";58;"desolate";"US";"web"
"40";"Montana";58;"desolate";"US";"web"
"41";"Colorado";57;"desolate";"US";"web"
"42";"New Hampshire";56;"desolate";"US";"web"
"43";"Iowa";54;"desolate";"US";"web"
"44";"Utah";54;"desolate";"US";"web"
"45";"Maine";52;"desolate";"US";"web"
"46";"Vermont";50;"desolate";"US";"web"
"47";"South Dakota";49;"desolate";"US";"web"
"48";"Nebraska";45;"desolate";"US";"web"
"49";"Oregon";44;"desolate";"US";"web"
"50";"Delaware";43;"desolate";"US";"web"
