"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"devastated";"US";"web"
"2";"Nevada";88;"devastated";"US";"web"
"3";"New Mexico";87;"devastated";"US";"web"
"4";"Massachusetts";87;"devastated";"US";"web"
"5";"New Hampshire";81;"devastated";"US";"web"
"6";"Virginia";81;"devastated";"US";"web"
"7";"Tennessee";78;"devastated";"US";"web"
"8";"Connecticut";77;"devastated";"US";"web"
"9";"Kansas";76;"devastated";"US";"web"
"10";"California";75;"devastated";"US";"web"
"11";"South Carolina";73;"devastated";"US";"web"
"12";"Louisiana";73;"devastated";"US";"web"
"13";"North Carolina";73;"devastated";"US";"web"
"14";"Alabama";72;"devastated";"US";"web"
"15";"New York";71;"devastated";"US";"web"
"16";"Mississippi";71;"devastated";"US";"web"
"17";"Florida";70;"devastated";"US";"web"
"18";"Missouri";68;"devastated";"US";"web"
"19";"Oklahoma";68;"devastated";"US";"web"
"20";"North Dakota";68;"devastated";"US";"web"
"21";"Maryland";68;"devastated";"US";"web"
"22";"Idaho";66;"devastated";"US";"web"
"23";"Washington";65;"devastated";"US";"web"
"24";"Kentucky";65;"devastated";"US";"web"
"25";"Pennsylvania";64;"devastated";"US";"web"
"26";"Texas";64;"devastated";"US";"web"
"27";"Arizona";63;"devastated";"US";"web"
"28";"Hawaii";62;"devastated";"US";"web"
"29";"New Jersey";61;"devastated";"US";"web"
"30";"Vermont";59;"devastated";"US";"web"
"31";"Illinois";58;"devastated";"US";"web"
"32";"District of Columbia";58;"devastated";"US";"web"
"33";"Michigan";58;"devastated";"US";"web"
"34";"Ohio";57;"devastated";"US";"web"
"35";"West Virginia";54;"devastated";"US";"web"
"36";"Georgia";54;"devastated";"US";"web"
"37";"Colorado";52;"devastated";"US";"web"
"38";"Oregon";51;"devastated";"US";"web"
"39";"Minnesota";50;"devastated";"US";"web"
"40";"Wisconsin";48;"devastated";"US";"web"
"41";"Maine";48;"devastated";"US";"web"
"42";"Indiana";45;"devastated";"US";"web"
"43";"Rhode Island";43;"devastated";"US";"web"
"44";"Montana";41;"devastated";"US";"web"
"45";"Nebraska";38;"devastated";"US";"web"
"46";"Iowa";38;"devastated";"US";"web"
"47";"Arkansas";31;"devastated";"US";"web"
"48";"Utah";30;"devastated";"US";"web"
"49";"Delaware";27;"devastated";"US";"web"
