"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"die";"US";"web"
"2";"Arkansas";93;"die";"US";"web"
"3";"Wyoming";89;"die";"US";"web"
"4";"Indiana";88;"die";"US";"web"
"5";"Michigan";87;"die";"US";"web"
"6";"New Hampshire";86;"die";"US";"web"
"7";"Kentucky";86;"die";"US";"web"
"8";"Rhode Island";86;"die";"US";"web"
"9";"Iowa";86;"die";"US";"web"
"10";"Ohio";85;"die";"US";"web"
"11";"Alabama";84;"die";"US";"web"
"12";"Arizona";84;"die";"US";"web"
"13";"Pennsylvania";84;"die";"US";"web"
"14";"Mississippi";84;"die";"US";"web"
"15";"Wisconsin";83;"die";"US";"web"
"16";"South Dakota";83;"die";"US";"web"
"17";"Maine";83;"die";"US";"web"
"18";"Missouri";83;"die";"US";"web"
"19";"Louisiana";83;"die";"US";"web"
"20";"Nevada";82;"die";"US";"web"
"21";"Tennessee";82;"die";"US";"web"
"22";"Connecticut";82;"die";"US";"web"
"23";"Nebraska";82;"die";"US";"web"
"24";"Oklahoma";82;"die";"US";"web"
"25";"South Carolina";80;"die";"US";"web"
"26";"Idaho";80;"die";"US";"web"
"27";"New Jersey";80;"die";"US";"web"
"28";"New Mexico";80;"die";"US";"web"
"29";"Massachusetts";79;"die";"US";"web"
"30";"North Dakota";79;"die";"US";"web"
"31";"Montana";79;"die";"US";"web"
"32";"Vermont";79;"die";"US";"web"
"33";"Colorado";78;"die";"US";"web"
"34";"Kansas";78;"die";"US";"web"
"35";"Illinois";78;"die";"US";"web"
"36";"Utah";78;"die";"US";"web"
"37";"California";77;"die";"US";"web"
"38";"Texas";77;"die";"US";"web"
"39";"Florida";76;"die";"US";"web"
"40";"Oregon";76;"die";"US";"web"
"41";"Delaware";76;"die";"US";"web"
"42";"Georgia";75;"die";"US";"web"
"43";"Maryland";75;"die";"US";"web"
"44";"North Carolina";75;"die";"US";"web"
"45";"Virginia";74;"die";"US";"web"
"46";"Alaska";73;"die";"US";"web"
"47";"Washington";73;"die";"US";"web"
"48";"New York";72;"die";"US";"web"
"49";"Minnesota";71;"die";"US";"web"
"50";"District of Columbia";69;"die";"US";"web"
"51";"Hawaii";69;"die";"US";"web"
