"";"location";"hits";"keyword";"geo";"gprop"
"1";"Arkansas";100;"doctor";"US";"web"
"2";"New Jersey";99;"doctor";"US";"web"
"3";"West Virginia";99;"doctor";"US";"web"
"4";"Maryland";98;"doctor";"US";"web"
"5";"Alabama";97;"doctor";"US";"web"
"6";"Utah";97;"doctor";"US";"web"
"7";"Florida";97;"doctor";"US";"web"
"8";"Oklahoma";96;"doctor";"US";"web"
"9";"Ohio";95;"doctor";"US";"web"
"10";"Indiana";95;"doctor";"US";"web"
"11";"Idaho";94;"doctor";"US";"web"
"12";"Arizona";94;"doctor";"US";"web"
"13";"New York";94;"doctor";"US";"web"
"14";"Tennessee";94;"doctor";"US";"web"
"15";"Rhode Island";94;"doctor";"US";"web"
"16";"Connecticut";93;"doctor";"US";"web"
"17";"Louisiana";92;"doctor";"US";"web"
"18";"Texas";92;"doctor";"US";"web"
"19";"Kentucky";92;"doctor";"US";"web"
"20";"Nebraska";92;"doctor";"US";"web"
"21";"South Carolina";92;"doctor";"US";"web"
"22";"Mississippi";91;"doctor";"US";"web"
"23";"Alaska";91;"doctor";"US";"web"
"24";"Pennsylvania";91;"doctor";"US";"web"
"25";"Nevada";90;"doctor";"US";"web"
"26";"Michigan";90;"doctor";"US";"web"
"27";"Georgia";89;"doctor";"US";"web"
"28";"Missouri";89;"doctor";"US";"web"
"29";"Delaware";88;"doctor";"US";"web"
"30";"North Carolina";88;"doctor";"US";"web"
"31";"District of Columbia";87;"doctor";"US";"web"
"32";"Maine";87;"doctor";"US";"web"
"33";"Iowa";87;"doctor";"US";"web"
"34";"Illinois";85;"doctor";"US";"web"
"35";"Colorado";84;"doctor";"US";"web"
"36";"Washington";84;"doctor";"US";"web"
"37";"New Hampshire";84;"doctor";"US";"web"
"38";"California";84;"doctor";"US";"web"
"39";"Massachusetts";83;"doctor";"US";"web"
"40";"Wyoming";83;"doctor";"US";"web"
"41";"Wisconsin";82;"doctor";"US";"web"
"42";"Vermont";82;"doctor";"US";"web"
"43";"Hawaii";79;"doctor";"US";"web"
"44";"New Mexico";79;"doctor";"US";"web"
"45";"North Dakota";79;"doctor";"US";"web"
"46";"Minnesota";78;"doctor";"US";"web"
"47";"South Dakota";77;"doctor";"US";"web"
"48";"Kansas";77;"doctor";"US";"web"
"49";"Montana";76;"doctor";"US";"web"
"50";"Virginia";73;"doctor";"US";"web"
"51";"Oregon";68;"doctor";"US";"web"
