"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"dreary";"US";"web"
"2";"New Hampshire";99;"dreary";"US";"web"
"3";"Rhode Island";94;"dreary";"US";"web"
"4";"Indiana";81;"dreary";"US";"web"
"5";"Nebraska";79;"dreary";"US";"web"
"6";"Hawaii";78;"dreary";"US";"web"
"7";"New Jersey";77;"dreary";"US";"web"
"8";"Illinois";76;"dreary";"US";"web"
"9";"Louisiana";75;"dreary";"US";"web"
"10";"Ohio";75;"dreary";"US";"web"
"11";"Maine";74;"dreary";"US";"web"
"12";"North Carolina";73;"dreary";"US";"web"
"13";"Minnesota";72;"dreary";"US";"web"
"14";"Connecticut";72;"dreary";"US";"web"
"15";"Washington";71;"dreary";"US";"web"
"16";"Delaware";71;"dreary";"US";"web"
"17";"Iowa";70;"dreary";"US";"web"
"18";"Virginia";70;"dreary";"US";"web"
"19";"Nevada";70;"dreary";"US";"web"
"20";"Montana";70;"dreary";"US";"web"
"21";"New York";70;"dreary";"US";"web"
"22";"Pennsylvania";68;"dreary";"US";"web"
"23";"Alabama";68;"dreary";"US";"web"
"24";"Oklahoma";67;"dreary";"US";"web"
"25";"Massachusetts";67;"dreary";"US";"web"
"26";"California";67;"dreary";"US";"web"
"27";"New Mexico";67;"dreary";"US";"web"
"28";"Florida";66;"dreary";"US";"web"
"29";"Idaho";66;"dreary";"US";"web"
"30";"West Virginia";66;"dreary";"US";"web"
"31";"Colorado";65;"dreary";"US";"web"
"32";"Oregon";64;"dreary";"US";"web"
"33";"Arizona";63;"dreary";"US";"web"
"34";"Texas";61;"dreary";"US";"web"
"35";"Tennessee";60;"dreary";"US";"web"
"36";"South Carolina";60;"dreary";"US";"web"
"37";"Arkansas";60;"dreary";"US";"web"
"38";"District of Columbia";59;"dreary";"US";"web"
"39";"Kansas";58;"dreary";"US";"web"
"40";"Georgia";58;"dreary";"US";"web"
"41";"Maryland";56;"dreary";"US";"web"
"42";"North Dakota";54;"dreary";"US";"web"
"43";"South Dakota";53;"dreary";"US";"web"
"44";"Wisconsin";53;"dreary";"US";"web"
"45";"Missouri";53;"dreary";"US";"web"
"46";"Michigan";48;"dreary";"US";"web"
"47";"Utah";47;"dreary";"US";"web"
"48";"Kentucky";37;"dreary";"US";"web"
