"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"empty";"US";"web"
"2";"Washington";92;"empty";"US";"web"
"3";"Idaho";90;"empty";"US";"web"
"4";"Massachusetts";90;"empty";"US";"web"
"5";"Illinois";90;"empty";"US";"web"
"6";"New Hampshire";89;"empty";"US";"web"
"7";"Maryland";89;"empty";"US";"web"
"8";"Vermont";88;"empty";"US";"web"
"9";"California";88;"empty";"US";"web"
"10";"Maine";87;"empty";"US";"web"
"11";"Delaware";86;"empty";"US";"web"
"12";"Connecticut";86;"empty";"US";"web"
"13";"New Jersey";86;"empty";"US";"web"
"14";"Pennsylvania";86;"empty";"US";"web"
"15";"Indiana";85;"empty";"US";"web"
"16";"Minnesota";84;"empty";"US";"web"
"17";"Rhode Island";84;"empty";"US";"web"
"18";"Wisconsin";83;"empty";"US";"web"
"19";"West Virginia";83;"empty";"US";"web"
"20";"Ohio";83;"empty";"US";"web"
"21";"Montana";82;"empty";"US";"web"
"22";"South Dakota";82;"empty";"US";"web"
"23";"Colorado";81;"empty";"US";"web"
"24";"Iowa";80;"empty";"US";"web"
"25";"New York";80;"empty";"US";"web"
"26";"Arizona";79;"empty";"US";"web"
"27";"Michigan";79;"empty";"US";"web"
"28";"North Dakota";79;"empty";"US";"web"
"29";"Nebraska";79;"empty";"US";"web"
"30";"North Carolina";78;"empty";"US";"web"
"31";"Texas";78;"empty";"US";"web"
"32";"Missouri";77;"empty";"US";"web"
"33";"Tennessee";77;"empty";"US";"web"
"34";"New Mexico";76;"empty";"US";"web"
"35";"Arkansas";75;"empty";"US";"web"
"36";"Alaska";73;"empty";"US";"web"
"37";"Hawaii";73;"empty";"US";"web"
"38";"Wyoming";73;"empty";"US";"web"
"39";"Alabama";72;"empty";"US";"web"
"40";"Florida";72;"empty";"US";"web"
"41";"South Carolina";72;"empty";"US";"web"
"42";"District of Columbia";72;"empty";"US";"web"
"43";"Kentucky";71;"empty";"US";"web"
"44";"Mississippi";71;"empty";"US";"web"
"45";"Oklahoma";71;"empty";"US";"web"
"46";"Georgia";69;"empty";"US";"web"
"47";"Kansas";69;"empty";"US";"web"
"48";"Nevada";69;"empty";"US";"web"
"49";"Virginia";65;"empty";"US";"web"
"50";"Louisiana";64;"empty";"US";"web"
"51";"Oregon";59;"empty";"US";"web"
