"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"endure";"US";"web"
"2";"Vermont";75;"endure";"US";"web"
"3";"Idaho";75;"endure";"US";"web"
"4";"Utah";72;"endure";"US";"web"
"5";"Wyoming";71;"endure";"US";"web"
"6";"Arkansas";70;"endure";"US";"web"
"7";"West Virginia";70;"endure";"US";"web"
"8";"Illinois";66;"endure";"US";"web"
"9";"Indiana";63;"endure";"US";"web"
"10";"South Carolina";63;"endure";"US";"web"
"11";"Maryland";62;"endure";"US";"web"
"12";"Missouri";62;"endure";"US";"web"
"13";"New Mexico";60;"endure";"US";"web"
"14";"Tennessee";60;"endure";"US";"web"
"15";"Florida";59;"endure";"US";"web"
"16";"Georgia";59;"endure";"US";"web"
"17";"Oklahoma";54;"endure";"US";"web"
"18";"Nevada";54;"endure";"US";"web"
"19";"North Carolina";53;"endure";"US";"web"
"20";"New York";52;"endure";"US";"web"
"21";"Minnesota";52;"endure";"US";"web"
"22";"New Hampshire";52;"endure";"US";"web"
"23";"Kentucky";51;"endure";"US";"web"
"24";"Maine";51;"endure";"US";"web"
"25";"Texas";50;"endure";"US";"web"
"26";"District of Columbia";50;"endure";"US";"web"
"27";"Colorado";49;"endure";"US";"web"
"28";"Virginia";49;"endure";"US";"web"
"29";"Washington";48;"endure";"US";"web"
"30";"Wisconsin";48;"endure";"US";"web"
"31";"Arizona";48;"endure";"US";"web"
"32";"Louisiana";47;"endure";"US";"web"
"33";"Massachusetts";47;"endure";"US";"web"
"34";"California";47;"endure";"US";"web"
"35";"Oregon";46;"endure";"US";"web"
"36";"Pennsylvania";45;"endure";"US";"web"
"37";"Michigan";45;"endure";"US";"web"
"38";"Connecticut";44;"endure";"US";"web"
"39";"Iowa";43;"endure";"US";"web"
"40";"Montana";43;"endure";"US";"web"
"41";"Alaska";43;"endure";"US";"web"
"42";"North Dakota";42;"endure";"US";"web"
"43";"New Jersey";41;"endure";"US";"web"
"44";"Ohio";40;"endure";"US";"web"
"45";"Kansas";39;"endure";"US";"web"
"46";"Hawaii";35;"endure";"US";"web"
"47";"South Dakota";32;"endure";"US";"web"
"48";"Nebraska";31;"endure";"US";"web"
"49";"Alabama";21;"endure";"US";"web"
"50";"Delaware";17;"endure";"US";"web"
"51";"Rhode Island";17;"endure";"US";"web"
