"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"feelings";"US";"web"
"2";"Louisiana";97;"feelings";"US";"web"
"3";"Alabama";87;"feelings";"US";"web"
"4";"Arkansas";86;"feelings";"US";"web"
"5";"South Carolina";86;"feelings";"US";"web"
"6";"North Carolina";84;"feelings";"US";"web"
"7";"Georgia";83;"feelings";"US";"web"
"8";"Rhode Island";82;"feelings";"US";"web"
"9";"New York";81;"feelings";"US";"web"
"10";"New Jersey";81;"feelings";"US";"web"
"11";"Delaware";81;"feelings";"US";"web"
"12";"Texas";80;"feelings";"US";"web"
"13";"Indiana";79;"feelings";"US";"web"
"14";"Kentucky";79;"feelings";"US";"web"
"15";"Florida";78;"feelings";"US";"web"
"16";"West Virginia";77;"feelings";"US";"web"
"17";"Connecticut";77;"feelings";"US";"web"
"18";"Pennsylvania";77;"feelings";"US";"web"
"19";"New Mexico";76;"feelings";"US";"web"
"20";"Maryland";76;"feelings";"US";"web"
"21";"Tennessee";76;"feelings";"US";"web"
"22";"Oklahoma";75;"feelings";"US";"web"
"23";"Arizona";75;"feelings";"US";"web"
"24";"Hawaii";75;"feelings";"US";"web"
"25";"California";74;"feelings";"US";"web"
"26";"Michigan";74;"feelings";"US";"web"
"27";"Nevada";73;"feelings";"US";"web"
"28";"Alaska";72;"feelings";"US";"web"
"29";"Ohio";72;"feelings";"US";"web"
"30";"Virginia";71;"feelings";"US";"web"
"31";"Illinois";71;"feelings";"US";"web"
"32";"Massachusetts";70;"feelings";"US";"web"
"33";"South Dakota";70;"feelings";"US";"web"
"34";"Vermont";69;"feelings";"US";"web"
"35";"District of Columbia";68;"feelings";"US";"web"
"36";"Utah";68;"feelings";"US";"web"
"37";"Kansas";68;"feelings";"US";"web"
"38";"Missouri";68;"feelings";"US";"web"
"39";"Wyoming";68;"feelings";"US";"web"
"40";"Iowa";68;"feelings";"US";"web"
"41";"Wisconsin";67;"feelings";"US";"web"
"42";"Maine";67;"feelings";"US";"web"
"43";"North Dakota";66;"feelings";"US";"web"
"44";"New Hampshire";64;"feelings";"US";"web"
"45";"Minnesota";64;"feelings";"US";"web"
"46";"Washington";64;"feelings";"US";"web"
"47";"Idaho";63;"feelings";"US";"web"
"48";"Montana";63;"feelings";"US";"web"
"49";"Colorado";62;"feelings";"US";"web"
"50";"Nebraska";61;"feelings";"US";"web"
"51";"Oregon";51;"feelings";"US";"web"
