"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alaska";100;"forlorn";"US";"web"
"2";"Montana";84;"forlorn";"US";"web"
"3";"West Virginia";79;"forlorn";"US";"web"
"4";"Idaho";73;"forlorn";"US";"web"
"5";"Oregon";72;"forlorn";"US";"web"
"6";"New Mexico";71;"forlorn";"US";"web"
"7";"Kansas";68;"forlorn";"US";"web"
"8";"Washington";66;"forlorn";"US";"web"
"9";"Kentucky";65;"forlorn";"US";"web"
"10";"New Hampshire";64;"forlorn";"US";"web"
"11";"Oklahoma";63;"forlorn";"US";"web"
"12";"South Dakota";63;"forlorn";"US";"web"
"13";"Maine";62;"forlorn";"US";"web"
"14";"South Carolina";60;"forlorn";"US";"web"
"15";"Indiana";58;"forlorn";"US";"web"
"16";"Arkansas";58;"forlorn";"US";"web"
"17";"Iowa";57;"forlorn";"US";"web"
"18";"Louisiana";55;"forlorn";"US";"web"
"19";"Alabama";55;"forlorn";"US";"web"
"20";"Tennessee";54;"forlorn";"US";"web"
"21";"Utah";54;"forlorn";"US";"web"
"22";"Florida";54;"forlorn";"US";"web"
"23";"Colorado";52;"forlorn";"US";"web"
"24";"Virginia";51;"forlorn";"US";"web"
"25";"Nebraska";51;"forlorn";"US";"web"
"26";"Pennsylvania";50;"forlorn";"US";"web"
"27";"Michigan";49;"forlorn";"US";"web"
"28";"Connecticut";49;"forlorn";"US";"web"
"29";"North Carolina";49;"forlorn";"US";"web"
"30";"Ohio";48;"forlorn";"US";"web"
"31";"Arizona";48;"forlorn";"US";"web"
"32";"California";47;"forlorn";"US";"web"
"33";"Nevada";47;"forlorn";"US";"web"
"34";"Maryland";47;"forlorn";"US";"web"
"35";"Minnesota";47;"forlorn";"US";"web"
"36";"North Dakota";46;"forlorn";"US";"web"
"37";"Rhode Island";45;"forlorn";"US";"web"
"38";"Texas";45;"forlorn";"US";"web"
"39";"Mississippi";45;"forlorn";"US";"web"
"40";"Missouri";45;"forlorn";"US";"web"
"41";"Hawaii";43;"forlorn";"US";"web"
"42";"New Jersey";43;"forlorn";"US";"web"
"43";"Georgia";42;"forlorn";"US";"web"
"44";"New York";41;"forlorn";"US";"web"
"45";"Illinois";41;"forlorn";"US";"web"
"46";"Wisconsin";40;"forlorn";"US";"web"
"47";"Massachusetts";38;"forlorn";"US";"web"
"48";"Vermont";37;"forlorn";"US";"web"
"49";"Delaware";36;"forlorn";"US";"web"
"50";"District of Columbia";31;"forlorn";"US";"web"
