"";"location";"hits";"keyword";"geo";"gprop"
"1";"Vermont";100;"fragile";"US";"web"
"2";"Maine";96;"fragile";"US";"web"
"3";"South Dakota";95;"fragile";"US";"web"
"4";"Idaho";93;"fragile";"US";"web"
"5";"Wyoming";93;"fragile";"US";"web"
"6";"Rhode Island";92;"fragile";"US";"web"
"7";"Indiana";91;"fragile";"US";"web"
"8";"Massachusetts";89;"fragile";"US";"web"
"9";"New Jersey";89;"fragile";"US";"web"
"10";"Maryland";85;"fragile";"US";"web"
"11";"Pennsylvania";85;"fragile";"US";"web"
"12";"Kansas";82;"fragile";"US";"web"
"13";"New Hampshire";82;"fragile";"US";"web"
"14";"New Mexico";81;"fragile";"US";"web"
"15";"Oklahoma";81;"fragile";"US";"web"
"16";"West Virginia";81;"fragile";"US";"web"
"17";"Delaware";81;"fragile";"US";"web"
"18";"South Carolina";80;"fragile";"US";"web"
"19";"Hawaii";80;"fragile";"US";"web"
"20";"Oregon";79;"fragile";"US";"web"
"21";"Connecticut";79;"fragile";"US";"web"
"22";"District of Columbia";79;"fragile";"US";"web"
"23";"Ohio";78;"fragile";"US";"web"
"24";"New York";78;"fragile";"US";"web"
"25";"Kentucky";78;"fragile";"US";"web"
"26";"Colorado";78;"fragile";"US";"web"
"27";"Washington";77;"fragile";"US";"web"
"28";"Nebraska";76;"fragile";"US";"web"
"29";"Georgia";75;"fragile";"US";"web"
"30";"Utah";75;"fragile";"US";"web"
"31";"Alabama";75;"fragile";"US";"web"
"32";"Michigan";75;"fragile";"US";"web"
"33";"Arkansas";74;"fragile";"US";"web"
"34";"Virginia";74;"fragile";"US";"web"
"35";"Tennessee";74;"fragile";"US";"web"
"36";"Missouri";74;"fragile";"US";"web"
"37";"Illinois";74;"fragile";"US";"web"
"38";"North Carolina";74;"fragile";"US";"web"
"39";"Iowa";73;"fragile";"US";"web"
"40";"Wisconsin";71;"fragile";"US";"web"
"41";"California";70;"fragile";"US";"web"
"42";"Florida";69;"fragile";"US";"web"
"43";"Montana";68;"fragile";"US";"web"
"44";"Minnesota";68;"fragile";"US";"web"
"45";"Louisiana";68;"fragile";"US";"web"
"46";"Alaska";67;"fragile";"US";"web"
"47";"Arizona";67;"fragile";"US";"web"
"48";"North Dakota";65;"fragile";"US";"web"
"49";"Texas";62;"fragile";"US";"web"
"50";"Mississippi";60;"fragile";"US";"web"
"51";"Nevada";57;"fragile";"US";"web"
