"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"gain";"US";"web"
"2";"West Virginia";92;"gain";"US";"web"
"3";"Louisiana";92;"gain";"US";"web"
"4";"Alabama";91;"gain";"US";"web"
"5";"Kentucky";87;"gain";"US";"web"
"6";"Georgia";87;"gain";"US";"web"
"7";"Arkansas";87;"gain";"US";"web"
"8";"Virginia";86;"gain";"US";"web"
"9";"Wyoming";86;"gain";"US";"web"
"10";"South Carolina";85;"gain";"US";"web"
"11";"Michigan";85;"gain";"US";"web"
"12";"Pennsylvania";85;"gain";"US";"web"
"13";"New Jersey";84;"gain";"US";"web"
"14";"Rhode Island";84;"gain";"US";"web"
"15";"North Carolina";84;"gain";"US";"web"
"16";"Ohio";83;"gain";"US";"web"
"17";"Oklahoma";83;"gain";"US";"web"
"18";"Tennessee";83;"gain";"US";"web"
"19";"Missouri";81;"gain";"US";"web"
"20";"New York";81;"gain";"US";"web"
"21";"Connecticut";81;"gain";"US";"web"
"22";"Massachusetts";81;"gain";"US";"web"
"23";"Maryland";81;"gain";"US";"web"
"24";"Delaware";81;"gain";"US";"web"
"25";"Indiana";80;"gain";"US";"web"
"26";"Idaho";80;"gain";"US";"web"
"27";"Arizona";80;"gain";"US";"web"
"28";"Florida";79;"gain";"US";"web"
"29";"Utah";78;"gain";"US";"web"
"30";"New Hampshire";78;"gain";"US";"web"
"31";"Nebraska";78;"gain";"US";"web"
"32";"Alaska";78;"gain";"US";"web"
"33";"Illinois";77;"gain";"US";"web"
"34";"Wisconsin";77;"gain";"US";"web"
"35";"Washington";76;"gain";"US";"web"
"36";"Iowa";76;"gain";"US";"web"
"37";"Texas";76;"gain";"US";"web"
"38";"California";76;"gain";"US";"web"
"39";"Montana";76;"gain";"US";"web"
"40";"District of Columbia";76;"gain";"US";"web"
"41";"Vermont";76;"gain";"US";"web"
"42";"Minnesota";75;"gain";"US";"web"
"43";"Colorado";75;"gain";"US";"web"
"44";"North Dakota";74;"gain";"US";"web"
"45";"Kansas";73;"gain";"US";"web"
"46";"New Mexico";73;"gain";"US";"web"
"47";"Maine";72;"gain";"US";"web"
"48";"South Dakota";71;"gain";"US";"web"
"49";"Oregon";69;"gain";"US";"web"
"50";"Nevada";69;"gain";"US";"web"
"51";"Hawaii";69;"gain";"US";"web"
