"";"location";"hits";"keyword";"geo";"gprop"
"1";"Maine";100;"grieving";"US";"web"
"2";"West Virginia";76;"grieving";"US";"web"
"3";"South Dakota";71;"grieving";"US";"web"
"4";"Louisiana";69;"grieving";"US";"web"
"5";"Arkansas";69;"grieving";"US";"web"
"6";"Oklahoma";65;"grieving";"US";"web"
"7";"Indiana";65;"grieving";"US";"web"
"8";"Idaho";64;"grieving";"US";"web"
"9";"Nebraska";62;"grieving";"US";"web"
"10";"Kentucky";61;"grieving";"US";"web"
"11";"New Mexico";60;"grieving";"US";"web"
"12";"Connecticut";60;"grieving";"US";"web"
"13";"Oregon";57;"grieving";"US";"web"
"14";"Michigan";57;"grieving";"US";"web"
"15";"Mississippi";56;"grieving";"US";"web"
"16";"Tennessee";55;"grieving";"US";"web"
"17";"Missouri";55;"grieving";"US";"web"
"18";"Illinois";54;"grieving";"US";"web"
"19";"Alabama";54;"grieving";"US";"web"
"20";"South Carolina";54;"grieving";"US";"web"
"21";"Georgia";53;"grieving";"US";"web"
"22";"Utah";53;"grieving";"US";"web"
"23";"Texas";53;"grieving";"US";"web"
"24";"Arizona";53;"grieving";"US";"web"
"25";"New Hampshire";53;"grieving";"US";"web"
"26";"Pennsylvania";53;"grieving";"US";"web"
"27";"Delaware";53;"grieving";"US";"web"
"28";"Ohio";53;"grieving";"US";"web"
"29";"Maryland";52;"grieving";"US";"web"
"30";"Virginia";52;"grieving";"US";"web"
"31";"Washington";51;"grieving";"US";"web"
"32";"Colorado";51;"grieving";"US";"web"
"33";"Wisconsin";51;"grieving";"US";"web"
"34";"Kansas";51;"grieving";"US";"web"
"35";"Massachusetts";51;"grieving";"US";"web"
"36";"New York";51;"grieving";"US";"web"
"37";"New Jersey";50;"grieving";"US";"web"
"38";"Minnesota";50;"grieving";"US";"web"
"39";"North Dakota";50;"grieving";"US";"web"
"40";"North Carolina";49;"grieving";"US";"web"
"41";"Nevada";48;"grieving";"US";"web"
"42";"California";48;"grieving";"US";"web"
"43";"Iowa";47;"grieving";"US";"web"
"44";"Florida";46;"grieving";"US";"web"
"45";"District of Columbia";43;"grieving";"US";"web"
"46";"Vermont";43;"grieving";"US";"web"
"47";"Montana";43;"grieving";"US";"web"
"48";"Hawaii";42;"grieving";"US";"web"
"49";"Rhode Island";40;"grieving";"US";"web"
"50";"Alaska";38;"grieving";"US";"web"
"51";"Wyoming";35;"grieving";"US";"web"
