"";"location";"hits";"keyword";"geo";"gprop"
"1";"Vermont";100;"guideline";"US";"web"
"2";"South Dakota";93;"guideline";"US";"web"
"3";"New Hampshire";90;"guideline";"US";"web"
"4";"Maine";86;"guideline";"US";"web"
"5";"Maryland";82;"guideline";"US";"web"
"6";"Mississippi";77;"guideline";"US";"web"
"7";"New Jersey";77;"guideline";"US";"web"
"8";"Delaware";77;"guideline";"US";"web"
"9";"Hawaii";76;"guideline";"US";"web"
"10";"Connecticut";75;"guideline";"US";"web"
"11";"Pennsylvania";72;"guideline";"US";"web"
"12";"Arkansas";72;"guideline";"US";"web"
"13";"New Mexico";71;"guideline";"US";"web"
"14";"North Dakota";70;"guideline";"US";"web"
"15";"Minnesota";69;"guideline";"US";"web"
"16";"West Virginia";68;"guideline";"US";"web"
"17";"Iowa";67;"guideline";"US";"web"
"18";"Indiana";67;"guideline";"US";"web"
"19";"Ohio";66;"guideline";"US";"web"
"20";"South Carolina";66;"guideline";"US";"web"
"21";"Massachusetts";65;"guideline";"US";"web"
"22";"Nebraska";64;"guideline";"US";"web"
"23";"Tennessee";64;"guideline";"US";"web"
"24";"District of Columbia";64;"guideline";"US";"web"
"25";"North Carolina";64;"guideline";"US";"web"
"26";"Idaho";63;"guideline";"US";"web"
"27";"Wyoming";63;"guideline";"US";"web"
"28";"Utah";62;"guideline";"US";"web"
"29";"Virginia";62;"guideline";"US";"web"
"30";"Oregon";62;"guideline";"US";"web"
"31";"Wisconsin";61;"guideline";"US";"web"
"32";"Michigan";58;"guideline";"US";"web"
"33";"Rhode Island";58;"guideline";"US";"web"
"34";"California";57;"guideline";"US";"web"
"35";"Washington";56;"guideline";"US";"web"
"36";"Missouri";55;"guideline";"US";"web"
"37";"Alabama";54;"guideline";"US";"web"
"38";"Kentucky";53;"guideline";"US";"web"
"39";"New York";52;"guideline";"US";"web"
"40";"Florida";51;"guideline";"US";"web"
"41";"Oklahoma";51;"guideline";"US";"web"
"42";"Arizona";50;"guideline";"US";"web"
"43";"Colorado";49;"guideline";"US";"web"
"44";"Nevada";48;"guideline";"US";"web"
"45";"Alaska";48;"guideline";"US";"web"
"46";"Illinois";46;"guideline";"US";"web"
"47";"Montana";46;"guideline";"US";"web"
"48";"Texas";45;"guideline";"US";"web"
"49";"Kansas";45;"guideline";"US";"web"
"50";"Georgia";40;"guideline";"US";"web"
"51";"Louisiana";39;"guideline";"US";"web"
