"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"helpless";"US";"web"
"2";"North Dakota";99;"helpless";"US";"web"
"3";"Virginia";94;"helpless";"US";"web"
"4";"Wisconsin";93;"helpless";"US";"web"
"5";"Oregon";92;"helpless";"US";"web"
"6";"South Carolina";91;"helpless";"US";"web"
"7";"New Mexico";90;"helpless";"US";"web"
"8";"Michigan";90;"helpless";"US";"web"
"9";"Ohio";88;"helpless";"US";"web"
"10";"Illinois";74;"helpless";"US";"web"
"11";"California";74;"helpless";"US";"web"
"12";"Maine";73;"helpless";"US";"web"
"13";"Oklahoma";69;"helpless";"US";"web"
"14";"Kansas";68;"helpless";"US";"web"
"15";"Nevada";61;"helpless";"US";"web"
"16";"Minnesota";54;"helpless";"US";"web"
"17";"Alaska";53;"helpless";"US";"web"
