"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"hereditary";"US";"web"
"2";"Arkansas";76;"hereditary";"US";"web"
"3";"Mississippi";75;"hereditary";"US";"web"
"4";"West Virginia";75;"hereditary";"US";"web"
"5";"Wyoming";72;"hereditary";"US";"web"
"6";"Idaho";71;"hereditary";"US";"web"
"7";"Ohio";68;"hereditary";"US";"web"
"8";"Kentucky";67;"hereditary";"US";"web"
"9";"Vermont";66;"hereditary";"US";"web"
"10";"Indiana";63;"hereditary";"US";"web"
"11";"New Hampshire";63;"hereditary";"US";"web"
"12";"Maryland";62;"hereditary";"US";"web"
"13";"Louisiana";61;"hereditary";"US";"web"
"14";"Nebraska";61;"hereditary";"US";"web"
"15";"Pennsylvania";61;"hereditary";"US";"web"
"16";"Tennessee";59;"hereditary";"US";"web"
"17";"Alaska";59;"hereditary";"US";"web"
"18";"Alabama";58;"hereditary";"US";"web"
"19";"Wisconsin";58;"hereditary";"US";"web"
"20";"Oklahoma";58;"hereditary";"US";"web"
"21";"Massachusetts";56;"hereditary";"US";"web"
"22";"New Jersey";56;"hereditary";"US";"web"
"23";"Iowa";56;"hereditary";"US";"web"
"24";"Missouri";55;"hereditary";"US";"web"
"25";"North Dakota";55;"hereditary";"US";"web"
"26";"North Carolina";54;"hereditary";"US";"web"
"27";"Minnesota";54;"hereditary";"US";"web"
"28";"South Carolina";54;"hereditary";"US";"web"
"29";"Connecticut";53;"hereditary";"US";"web"
"30";"Hawaii";52;"hereditary";"US";"web"
"31";"Michigan";51;"hereditary";"US";"web"
"32";"Delaware";51;"hereditary";"US";"web"
"33";"Georgia";51;"hereditary";"US";"web"
"34";"Maine";51;"hereditary";"US";"web"
"35";"Illinois";51;"hereditary";"US";"web"
"36";"Texas";51;"hereditary";"US";"web"
"37";"Montana";51;"hereditary";"US";"web"
"38";"Rhode Island";51;"hereditary";"US";"web"
"39";"Florida";50;"hereditary";"US";"web"
"40";"Arizona";49;"hereditary";"US";"web"
"41";"Washington";48;"hereditary";"US";"web"
"42";"Utah";46;"hereditary";"US";"web"
"43";"Nevada";45;"hereditary";"US";"web"
"44";"New York";45;"hereditary";"US";"web"
"45";"Colorado";45;"hereditary";"US";"web"
"46";"New Mexico";45;"hereditary";"US";"web"
"47";"Kansas";45;"hereditary";"US";"web"
"48";"District of Columbia";44;"hereditary";"US";"web"
"49";"California";44;"hereditary";"US";"web"
"50";"Virginia";40;"hereditary";"US";"web"
"51";"Oregon";39;"hereditary";"US";"web"
