"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"hopeless";"US";"web"
"2";"New Hampshire";95;"hopeless";"US";"web"
"3";"West Virginia";90;"hopeless";"US";"web"
"4";"Vermont";90;"hopeless";"US";"web"
"5";"Idaho";87;"hopeless";"US";"web"
"6";"Arkansas";87;"hopeless";"US";"web"
"7";"Nevada";86;"hopeless";"US";"web"
"8";"Rhode Island";85;"hopeless";"US";"web"
"9";"Indiana";84;"hopeless";"US";"web"
"10";"Pennsylvania";83;"hopeless";"US";"web"
"11";"New Mexico";83;"hopeless";"US";"web"
"12";"Missouri";83;"hopeless";"US";"web"
"13";"Louisiana";82;"hopeless";"US";"web"
"14";"Hawaii";82;"hopeless";"US";"web"
"15";"New York";82;"hopeless";"US";"web"
"16";"Minnesota";81;"hopeless";"US";"web"
"17";"North Dakota";81;"hopeless";"US";"web"
"18";"Massachusetts";81;"hopeless";"US";"web"
"19";"Connecticut";80;"hopeless";"US";"web"
"20";"New Jersey";79;"hopeless";"US";"web"
"21";"Kentucky";79;"hopeless";"US";"web"
"22";"Colorado";79;"hopeless";"US";"web"
"23";"California";79;"hopeless";"US";"web"
"24";"Alabama";79;"hopeless";"US";"web"
"25";"Virginia";79;"hopeless";"US";"web"
"26";"Kansas";77;"hopeless";"US";"web"
"27";"Wisconsin";77;"hopeless";"US";"web"
"28";"Oklahoma";77;"hopeless";"US";"web"
"29";"Arizona";77;"hopeless";"US";"web"
"30";"Ohio";77;"hopeless";"US";"web"
"31";"Michigan";76;"hopeless";"US";"web"
"32";"Tennessee";76;"hopeless";"US";"web"
"33";"Iowa";76;"hopeless";"US";"web"
"34";"Maine";76;"hopeless";"US";"web"
"35";"Washington";76;"hopeless";"US";"web"
"36";"Illinois";75;"hopeless";"US";"web"
"37";"Maryland";75;"hopeless";"US";"web"
"38";"North Carolina";74;"hopeless";"US";"web"
"39";"Mississippi";72;"hopeless";"US";"web"
"40";"Georgia";70;"hopeless";"US";"web"
"41";"District of Columbia";69;"hopeless";"US";"web"
"42";"Texas";69;"hopeless";"US";"web"
"43";"South Carolina";69;"hopeless";"US";"web"
"44";"Alaska";69;"hopeless";"US";"web"
"45";"Florida";67;"hopeless";"US";"web"
"46";"Nebraska";67;"hopeless";"US";"web"
"47";"Wyoming";66;"hopeless";"US";"web"
"48";"Montana";62;"hopeless";"US";"web"
"49";"South Dakota";57;"hopeless";"US";"web"
"50";"Oregon";55;"hopeless";"US";"web"
"51";"Delaware";45;"hopeless";"US";"web"
