"";"location";"hits";"keyword";"geo";"gprop"
"1";"Connecticut";100;"hopelessness";"US";"web"
"2";"Indiana";87;"hopelessness";"US";"web"
"3";"Arkansas";73;"hopelessness";"US";"web"
"4";"New Mexico";66;"hopelessness";"US";"web"
"5";"Massachusetts";66;"hopelessness";"US";"web"
"6";"Alabama";65;"hopelessness";"US";"web"
"7";"Pennsylvania";64;"hopelessness";"US";"web"
"8";"Ohio";64;"hopelessness";"US";"web"
"9";"Minnesota";58;"hopelessness";"US";"web"
"10";"Florida";57;"hopelessness";"US";"web"
"11";"Colorado";55;"hopelessness";"US";"web"
"12";"Illinois";54;"hopelessness";"US";"web"
"13";"Maryland";54;"hopelessness";"US";"web"
"14";"Georgia";54;"hopelessness";"US";"web"
"15";"North Carolina";53;"hopelessness";"US";"web"
"16";"Tennessee";53;"hopelessness";"US";"web"
"17";"Louisiana";53;"hopelessness";"US";"web"
"18";"Wisconsin";52;"hopelessness";"US";"web"
"19";"New York";48;"hopelessness";"US";"web"
"20";"California";48;"hopelessness";"US";"web"
"21";"North Dakota";47;"hopelessness";"US";"web"
"22";"Michigan";46;"hopelessness";"US";"web"
"23";"Kansas";46;"hopelessness";"US";"web"
"24";"Missouri";45;"hopelessness";"US";"web"
"25";"Texas";45;"hopelessness";"US";"web"
"26";"Washington";44;"hopelessness";"US";"web"
"27";"Arizona";43;"hopelessness";"US";"web"
"28";"Iowa";43;"hopelessness";"US";"web"
"29";"Mississippi";41;"hopelessness";"US";"web"
"30";"Oregon";40;"hopelessness";"US";"web"
"31";"Utah";39;"hopelessness";"US";"web"
"32";"Nebraska";39;"hopelessness";"US";"web"
"33";"District of Columbia";38;"hopelessness";"US";"web"
"34";"Kentucky";37;"hopelessness";"US";"web"
"35";"South Carolina";35;"hopelessness";"US";"web"
"36";"Nevada";34;"hopelessness";"US";"web"
"37";"New Jersey";34;"hopelessness";"US";"web"
"38";"Oklahoma";34;"hopelessness";"US";"web"
"39";"Virginia";32;"hopelessness";"US";"web"
