"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"immune";"US";"web"
"2";"South Dakota";99;"immune";"US";"web"
"3";"Vermont";87;"immune";"US";"web"
"4";"Montana";80;"immune";"US";"web"
"5";"Maine";78;"immune";"US";"web"
"6";"Louisiana";78;"immune";"US";"web"
"7";"Indiana";77;"immune";"US";"web"
"8";"Idaho";77;"immune";"US";"web"
"9";"Pennsylvania";75;"immune";"US";"web"
"10";"Maryland";75;"immune";"US";"web"
"11";"New Mexico";74;"immune";"US";"web"
"12";"Utah";73;"immune";"US";"web"
"13";"Mississippi";72;"immune";"US";"web"
"14";"Arizona";71;"immune";"US";"web"
"15";"Colorado";71;"immune";"US";"web"
"16";"Delaware";70;"immune";"US";"web"
"17";"Wisconsin";70;"immune";"US";"web"
"18";"New Hampshire";70;"immune";"US";"web"
"19";"Iowa";70;"immune";"US";"web"
"20";"Massachusetts";70;"immune";"US";"web"
"21";"Connecticut";70;"immune";"US";"web"
"22";"Ohio";69;"immune";"US";"web"
"23";"Oregon";68;"immune";"US";"web"
"24";"Rhode Island";68;"immune";"US";"web"
"25";"Minnesota";67;"immune";"US";"web"
"26";"New York";67;"immune";"US";"web"
"27";"North Carolina";67;"immune";"US";"web"
"28";"Washington";66;"immune";"US";"web"
"29";"Georgia";66;"immune";"US";"web"
"30";"Nevada";65;"immune";"US";"web"
"31";"California";65;"immune";"US";"web"
"32";"Kentucky";64;"immune";"US";"web"
"33";"Virginia";64;"immune";"US";"web"
"34";"Michigan";64;"immune";"US";"web"
"35";"Missouri";64;"immune";"US";"web"
"36";"Kansas";63;"immune";"US";"web"
"37";"South Carolina";63;"immune";"US";"web"
"38";"Florida";63;"immune";"US";"web"
"39";"Wyoming";63;"immune";"US";"web"
"40";"Tennessee";63;"immune";"US";"web"
"41";"Alabama";62;"immune";"US";"web"
"42";"New Jersey";61;"immune";"US";"web"
"43";"Arkansas";60;"immune";"US";"web"
"44";"Hawaii";59;"immune";"US";"web"
"45";"Illinois";59;"immune";"US";"web"
"46";"Oklahoma";59;"immune";"US";"web"
"47";"Texas";58;"immune";"US";"web"
"48";"North Dakota";56;"immune";"US";"web"
"49";"Nebraska";55;"immune";"US";"web"
"50";"District of Columbia";51;"immune";"US";"web"
"51";"Alaska";46;"immune";"US";"web"
