"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"inactivity";"US";"web"
"2";"Nevada";52;"inactivity";"US";"web"
"3";"Nebraska";47;"inactivity";"US";"web"
"4";"Rhode Island";43;"inactivity";"US";"web"
"5";"Iowa";42;"inactivity";"US";"web"
"6";"Missouri";41;"inactivity";"US";"web"
"7";"Pennsylvania";41;"inactivity";"US";"web"
"8";"Wisconsin";41;"inactivity";"US";"web"
"9";"Kansas";39;"inactivity";"US";"web"
"10";"Maryland";39;"inactivity";"US";"web"
"11";"Maine";39;"inactivity";"US";"web"
"12";"Ohio";38;"inactivity";"US";"web"
"13";"Oklahoma";38;"inactivity";"US";"web"
"14";"Arkansas";38;"inactivity";"US";"web"
"15";"Virginia";37;"inactivity";"US";"web"
"16";"New Jersey";36;"inactivity";"US";"web"
"17";"North Carolina";36;"inactivity";"US";"web"
"18";"Kentucky";34;"inactivity";"US";"web"
"19";"Minnesota";34;"inactivity";"US";"web"
"20";"Utah";32;"inactivity";"US";"web"
"21";"Colorado";30;"inactivity";"US";"web"
"22";"South Carolina";29;"inactivity";"US";"web"
"23";"Indiana";29;"inactivity";"US";"web"
"24";"Oregon";29;"inactivity";"US";"web"
"25";"Michigan";29;"inactivity";"US";"web"
"26";"Massachusetts";28;"inactivity";"US";"web"
"27";"Tennessee";27;"inactivity";"US";"web"
"28";"California";27;"inactivity";"US";"web"
"29";"District of Columbia";27;"inactivity";"US";"web"
"30";"Arizona";26;"inactivity";"US";"web"
"31";"New York";25;"inactivity";"US";"web"
"32";"New Hampshire";25;"inactivity";"US";"web"
"33";"Washington";25;"inactivity";"US";"web"
"34";"Alabama";24;"inactivity";"US";"web"
"35";"Georgia";24;"inactivity";"US";"web"
"36";"Florida";23;"inactivity";"US";"web"
"37";"Texas";22;"inactivity";"US";"web"
"38";"Connecticut";21;"inactivity";"US";"web"
"39";"Idaho";21;"inactivity";"US";"web"
"40";"Illinois";20;"inactivity";"US";"web"
"41";"New Mexico";18;"inactivity";"US";"web"
"42";"Hawaii";17;"inactivity";"US";"web"
"43";"Louisiana";16;"inactivity";"US";"web"
"44";"Mississippi";16;"inactivity";"US";"web"
