"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"inconsolable";"US";"web"
"2";"New Mexico";91;"inconsolable";"US";"web"
"3";"New Hampshire";88;"inconsolable";"US";"web"
"4";"Hawaii";82;"inconsolable";"US";"web"
"5";"Arkansas";81;"inconsolable";"US";"web"
"6";"Indiana";80;"inconsolable";"US";"web"
"7";"Maryland";75;"inconsolable";"US";"web"
"8";"Louisiana";75;"inconsolable";"US";"web"
"9";"Illinois";74;"inconsolable";"US";"web"
"10";"Ohio";74;"inconsolable";"US";"web"
"11";"Michigan";70;"inconsolable";"US";"web"
"12";"Alabama";68;"inconsolable";"US";"web"
"13";"District of Columbia";67;"inconsolable";"US";"web"
"14";"Missouri";67;"inconsolable";"US";"web"
"15";"Minnesota";67;"inconsolable";"US";"web"
"16";"Washington";66;"inconsolable";"US";"web"
"17";"New York";65;"inconsolable";"US";"web"
"18";"Texas";64;"inconsolable";"US";"web"
"19";"New Jersey";64;"inconsolable";"US";"web"
"20";"North Carolina";64;"inconsolable";"US";"web"
"21";"Arizona";63;"inconsolable";"US";"web"
"22";"South Carolina";63;"inconsolable";"US";"web"
"23";"California";62;"inconsolable";"US";"web"
"24";"Tennessee";60;"inconsolable";"US";"web"
"25";"Pennsylvania";60;"inconsolable";"US";"web"
"26";"Florida";59;"inconsolable";"US";"web"
"27";"Oklahoma";58;"inconsolable";"US";"web"
"28";"Iowa";56;"inconsolable";"US";"web"
"29";"Utah";56;"inconsolable";"US";"web"
"30";"Massachusetts";52;"inconsolable";"US";"web"
"31";"Connecticut";52;"inconsolable";"US";"web"
"32";"Colorado";50;"inconsolable";"US";"web"
"33";"Georgia";49;"inconsolable";"US";"web"
"34";"Wisconsin";47;"inconsolable";"US";"web"
"35";"Nevada";46;"inconsolable";"US";"web"
"36";"Idaho";46;"inconsolable";"US";"web"
"37";"Kansas";44;"inconsolable";"US";"web"
"38";"Virginia";44;"inconsolable";"US";"web"
"39";"Kentucky";44;"inconsolable";"US";"web"
"40";"Mississippi";42;"inconsolable";"US";"web"
"41";"Oregon";36;"inconsolable";"US";"web"
"42";"Nebraska";35;"inconsolable";"US";"web"
"43";"Rhode Island";35;"inconsolable";"US";"web"
