"";"location";"hits";"keyword";"geo";"gprop"
"1";"Delaware";100;"insecure";"US";"web"
"2";"Mississippi";85;"insecure";"US";"web"
"3";"Georgia";81;"insecure";"US";"web"
"4";"Hawaii";77;"insecure";"US";"web"
"5";"Arkansas";76;"insecure";"US";"web"
"6";"California";76;"insecure";"US";"web"
"7";"New York";74;"insecure";"US";"web"
"8";"District of Columbia";74;"insecure";"US";"web"
"9";"New Jersey";74;"insecure";"US";"web"
"10";"West Virginia";72;"insecure";"US";"web"
"11";"South Dakota";71;"insecure";"US";"web"
"12";"Louisiana";71;"insecure";"US";"web"
"13";"Maryland";71;"insecure";"US";"web"
"14";"Illinois";71;"insecure";"US";"web"
"15";"Michigan";70;"insecure";"US";"web"
"16";"Texas";69;"insecure";"US";"web"
"17";"Nevada";68;"insecure";"US";"web"
"18";"Kansas";68;"insecure";"US";"web"
"19";"South Carolina";67;"insecure";"US";"web"
"20";"North Dakota";67;"insecure";"US";"web"
"21";"Kentucky";66;"insecure";"US";"web"
"22";"North Carolina";66;"insecure";"US";"web"
"23";"Connecticut";66;"insecure";"US";"web"
"24";"Florida";66;"insecure";"US";"web"
"25";"Alabama";65;"insecure";"US";"web"
"26";"Massachusetts";65;"insecure";"US";"web"
"27";"Missouri";64;"insecure";"US";"web"
"28";"New Hampshire";63;"insecure";"US";"web"
"29";"Arizona";63;"insecure";"US";"web"
"30";"Indiana";63;"insecure";"US";"web"
"31";"Pennsylvania";62;"insecure";"US";"web"
"32";"Washington";61;"insecure";"US";"web"
"33";"Iowa";60;"insecure";"US";"web"
"34";"Minnesota";60;"insecure";"US";"web"
"35";"Maine";60;"insecure";"US";"web"
"36";"Alaska";59;"insecure";"US";"web"
"37";"Colorado";59;"insecure";"US";"web"
"38";"Ohio";58;"insecure";"US";"web"
"39";"Virginia";58;"insecure";"US";"web"
"40";"Montana";57;"insecure";"US";"web"
"41";"Tennessee";57;"insecure";"US";"web"
"42";"New Mexico";55;"insecure";"US";"web"
"43";"Oklahoma";55;"insecure";"US";"web"
"44";"Utah";53;"insecure";"US";"web"
"45";"Rhode Island";51;"insecure";"US";"web"
"46";"Nebraska";50;"insecure";"US";"web"
"47";"Wisconsin";49;"insecure";"US";"web"
"48";"Vermont";45;"insecure";"US";"web"
"49";"Idaho";45;"insecure";"US";"web"
"50";"Wyoming";44;"insecure";"US";"web"
"51";"Oregon";40;"insecure";"US";"web"
