"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"interfere";"US";"web"
"2";"Montana";91;"interfere";"US";"web"
"3";"Arkansas";80;"interfere";"US";"web"
"4";"Delaware";75;"interfere";"US";"web"
"5";"Mississippi";69;"interfere";"US";"web"
"6";"Iowa";67;"interfere";"US";"web"
"7";"South Carolina";65;"interfere";"US";"web"
"8";"Maine";64;"interfere";"US";"web"
"9";"Tennessee";62;"interfere";"US";"web"
"10";"Indiana";62;"interfere";"US";"web"
"11";"Virginia";61;"interfere";"US";"web"
"12";"Vermont";60;"interfere";"US";"web"
"13";"Maryland";59;"interfere";"US";"web"
"14";"Kentucky";58;"interfere";"US";"web"
"15";"North Carolina";58;"interfere";"US";"web"
"16";"Alabama";57;"interfere";"US";"web"
"17";"Washington";55;"interfere";"US";"web"
"18";"Nebraska";55;"interfere";"US";"web"
"19";"Pennsylvania";54;"interfere";"US";"web"
"20";"North Dakota";54;"interfere";"US";"web"
"21";"Ohio";53;"interfere";"US";"web"
"22";"Louisiana";53;"interfere";"US";"web"
"23";"Massachusetts";52;"interfere";"US";"web"
"24";"Kansas";52;"interfere";"US";"web"
"25";"Utah";52;"interfere";"US";"web"
"26";"Missouri";52;"interfere";"US";"web"
"27";"Idaho";52;"interfere";"US";"web"
"28";"New Jersey";51;"interfere";"US";"web"
"29";"Wisconsin";50;"interfere";"US";"web"
"30";"Oklahoma";50;"interfere";"US";"web"
"31";"Florida";50;"interfere";"US";"web"
"32";"Connecticut";49;"interfere";"US";"web"
"33";"Arizona";49;"interfere";"US";"web"
"34";"New Hampshire";48;"interfere";"US";"web"
"35";"Texas";48;"interfere";"US";"web"
"36";"Michigan";47;"interfere";"US";"web"
"37";"Georgia";47;"interfere";"US";"web"
"38";"New York";46;"interfere";"US";"web"
"39";"California";45;"interfere";"US";"web"
"40";"Hawaii";44;"interfere";"US";"web"
"41";"Nevada";44;"interfere";"US";"web"
"42";"Minnesota";42;"interfere";"US";"web"
"43";"South Dakota";42;"interfere";"US";"web"
"44";"Colorado";40;"interfere";"US";"web"
"45";"New Mexico";37;"interfere";"US";"web"
"46";"Illinois";37;"interfere";"US";"web"
"47";"Alaska";36;"interfere";"US";"web"
"48";"District of Columbia";35;"interfere";"US";"web"
"49";"Wyoming";32;"interfere";"US";"web"
"50";"Oregon";29;"interfere";"US";"web"
"51";"Rhode Island";25;"interfere";"US";"web"
