"";"location";"hits";"keyword";"geo";"gprop"
"1";"New Hampshire";100;"involvement";"US";"web"
"2";"Arkansas";95;"involvement";"US";"web"
"3";"Mississippi";94;"involvement";"US";"web"
"4";"Iowa";92;"involvement";"US";"web"
"5";"Alabama";90;"involvement";"US";"web"
"6";"Indiana";86;"involvement";"US";"web"
"7";"North Carolina";86;"involvement";"US";"web"
"8";"Connecticut";84;"involvement";"US";"web"
"9";"Wisconsin";83;"involvement";"US";"web"
"10";"Ohio";83;"involvement";"US";"web"
"11";"Rhode Island";83;"involvement";"US";"web"
"12";"Maine";80;"involvement";"US";"web"
"13";"Nebraska";79;"involvement";"US";"web"
"14";"Maryland";77;"involvement";"US";"web"
"15";"North Dakota";75;"involvement";"US";"web"
"16";"Minnesota";75;"involvement";"US";"web"
"17";"Michigan";74;"involvement";"US";"web"
"18";"New Mexico";73;"involvement";"US";"web"
"19";"West Virginia";72;"involvement";"US";"web"
"20";"Alaska";72;"involvement";"US";"web"
"21";"Massachusetts";71;"involvement";"US";"web"
"22";"Missouri";69;"involvement";"US";"web"
"23";"Pennsylvania";69;"involvement";"US";"web"
"24";"Kentucky";68;"involvement";"US";"web"
"25";"Idaho";68;"involvement";"US";"web"
"26";"Illinois";68;"involvement";"US";"web"
"27";"Florida";65;"involvement";"US";"web"
"28";"Arizona";65;"involvement";"US";"web"
"29";"South Carolina";64;"involvement";"US";"web"
"30";"Colorado";64;"involvement";"US";"web"
"31";"New Jersey";63;"involvement";"US";"web"
"32";"Oklahoma";63;"involvement";"US";"web"
"33";"Washington";63;"involvement";"US";"web"
"34";"Nevada";61;"involvement";"US";"web"
"35";"Louisiana";61;"involvement";"US";"web"
"36";"California";60;"involvement";"US";"web"
"37";"Kansas";59;"involvement";"US";"web"
"38";"District of Columbia";59;"involvement";"US";"web"
"39";"Georgia";59;"involvement";"US";"web"
"40";"Texas";59;"involvement";"US";"web"
"41";"Tennessee";59;"involvement";"US";"web"
"42";"Hawaii";57;"involvement";"US";"web"
"43";"Montana";56;"involvement";"US";"web"
"44";"Vermont";55;"involvement";"US";"web"
"45";"Delaware";55;"involvement";"US";"web"
"46";"New York";54;"involvement";"US";"web"
"47";"Wyoming";54;"involvement";"US";"web"
"48";"Oregon";48;"involvement";"US";"web"
"49";"Utah";46;"involvement";"US";"web"
"50";"South Dakota";44;"involvement";"US";"web"
"51";"Virginia";44;"involvement";"US";"web"
