"";"location";"hits";"keyword";"geo";"gprop"
"1";"Rhode Island";100;"irrational";"US";"web"
"2";"Mississippi";100;"irrational";"US";"web"
"3";"New Mexico";93;"irrational";"US";"web"
"4";"Indiana";88;"irrational";"US";"web"
"5";"Vermont";87;"irrational";"US";"web"
"6";"Utah";87;"irrational";"US";"web"
"7";"West Virginia";84;"irrational";"US";"web"
"8";"Georgia";83;"irrational";"US";"web"
"9";"New York";82;"irrational";"US";"web"
"10";"New Jersey";82;"irrational";"US";"web"
"11";"North Carolina";81;"irrational";"US";"web"
"12";"Florida";80;"irrational";"US";"web"
"13";"South Carolina";79;"irrational";"US";"web"
"14";"Maine";79;"irrational";"US";"web"
"15";"Ohio";78;"irrational";"US";"web"
"16";"Massachusetts";78;"irrational";"US";"web"
"17";"Idaho";77;"irrational";"US";"web"
"18";"Louisiana";77;"irrational";"US";"web"
"19";"Wyoming";75;"irrational";"US";"web"
"20";"Connecticut";75;"irrational";"US";"web"
"21";"Arizona";75;"irrational";"US";"web"
"22";"Arkansas";75;"irrational";"US";"web"
"23";"Alabama";74;"irrational";"US";"web"
"24";"Nevada";74;"irrational";"US";"web"
"25";"California";73;"irrational";"US";"web"
"26";"Hawaii";73;"irrational";"US";"web"
"27";"Pennsylvania";71;"irrational";"US";"web"
"28";"Illinois";69;"irrational";"US";"web"
"29";"Minnesota";68;"irrational";"US";"web"
"30";"Colorado";68;"irrational";"US";"web"
"31";"Alaska";67;"irrational";"US";"web"
"32";"Maryland";67;"irrational";"US";"web"
"33";"Michigan";67;"irrational";"US";"web"
"34";"Iowa";67;"irrational";"US";"web"
"35";"Texas";65;"irrational";"US";"web"
"36";"Tennessee";65;"irrational";"US";"web"
"37";"New Hampshire";63;"irrational";"US";"web"
"38";"Delaware";62;"irrational";"US";"web"
"39";"Kentucky";60;"irrational";"US";"web"
"40";"Missouri";60;"irrational";"US";"web"
"41";"Montana";59;"irrational";"US";"web"
"42";"Wisconsin";58;"irrational";"US";"web"
"43";"Kansas";58;"irrational";"US";"web"
"44";"Washington";57;"irrational";"US";"web"
"45";"Nebraska";57;"irrational";"US";"web"
"46";"District of Columbia";55;"irrational";"US";"web"
"47";"South Dakota";52;"irrational";"US";"web"
"48";"Oregon";51;"irrational";"US";"web"
"49";"Oklahoma";49;"irrational";"US";"web"
"50";"North Dakota";49;"irrational";"US";"web"
"51";"Virginia";45;"irrational";"US";"web"
