"";"location";"hits";"keyword";"geo";"gprop"
"1";"Indiana";100;"irrational";"US";"web"
"2";"Mississippi";98;"irrational";"US";"web"
"3";"South Carolina";94;"irrational";"US";"web"
"4";"New Mexico";92;"irrational";"US";"web"
"5";"West Virginia";91;"irrational";"US";"web"
"6";"Georgia";86;"irrational";"US";"web"
"7";"Arkansas";86;"irrational";"US";"web"
"8";"Arizona";85;"irrational";"US";"web"
"9";"New Jersey";83;"irrational";"US";"web"
"10";"Utah";83;"irrational";"US";"web"
"11";"North Carolina";82;"irrational";"US";"web"
"12";"South Dakota";82;"irrational";"US";"web"
"13";"Ohio";82;"irrational";"US";"web"
"14";"Nevada";81;"irrational";"US";"web"
"15";"Rhode Island";81;"irrational";"US";"web"
"16";"Maine";80;"irrational";"US";"web"
"17";"Louisiana";80;"irrational";"US";"web"
"18";"Idaho";79;"irrational";"US";"web"
"19";"New York";79;"irrational";"US";"web"
"20";"Florida";78;"irrational";"US";"web"
"21";"Tennessee";77;"irrational";"US";"web"
"22";"Alabama";76;"irrational";"US";"web"
"23";"Pennsylvania";76;"irrational";"US";"web"
"24";"Massachusetts";75;"irrational";"US";"web"
"25";"Kentucky";75;"irrational";"US";"web"
"26";"Hawaii";73;"irrational";"US";"web"
"27";"California";73;"irrational";"US";"web"
"28";"Connecticut";73;"irrational";"US";"web"
"29";"Wyoming";72;"irrational";"US";"web"
"30";"New Hampshire";72;"irrational";"US";"web"
"31";"Maryland";71;"irrational";"US";"web"
"32";"Iowa";71;"irrational";"US";"web"
"33";"Vermont";70;"irrational";"US";"web"
"34";"Kansas";69;"irrational";"US";"web"
"35";"Michigan";68;"irrational";"US";"web"
"36";"Minnesota";68;"irrational";"US";"web"
"37";"Wisconsin";68;"irrational";"US";"web"
"38";"Illinois";67;"irrational";"US";"web"
"39";"Alaska";67;"irrational";"US";"web"
"40";"Nebraska";66;"irrational";"US";"web"
"41";"North Dakota";66;"irrational";"US";"web"
"42";"Colorado";66;"irrational";"US";"web"
"43";"Missouri";65;"irrational";"US";"web"
"44";"Texas";65;"irrational";"US";"web"
"45";"Oklahoma";64;"irrational";"US";"web"
"46";"Virginia";62;"irrational";"US";"web"
"47";"Delaware";62;"irrational";"US";"web"
"48";"Montana";61;"irrational";"US";"web"
"49";"Washington";61;"irrational";"US";"web"
"50";"Oregon";52;"irrational";"US";"web"
"51";"District of Columbia";51;"irrational";"US";"web"
