"";"location";"hits";"keyword";"geo";"gprop"
"1";"North Dakota";100;"irritability";"US";"web"
"2";"Vermont";83;"irritability";"US";"web"
"3";"Idaho";83;"irritability";"US";"web"
"4";"New Hampshire";79;"irritability";"US";"web"
"5";"Maine";78;"irritability";"US";"web"
"6";"Ohio";74;"irritability";"US";"web"
"7";"Missouri";74;"irritability";"US";"web"
"8";"Indiana";71;"irritability";"US";"web"
"9";"Kentucky";69;"irritability";"US";"web"
"10";"Tennessee";69;"irritability";"US";"web"
"11";"Colorado";69;"irritability";"US";"web"
"12";"Alabama";67;"irritability";"US";"web"
"13";"Utah";67;"irritability";"US";"web"
"14";"Mississippi";66;"irritability";"US";"web"
"15";"Maryland";65;"irritability";"US";"web"
"16";"Pennsylvania";65;"irritability";"US";"web"
"17";"Nebraska";64;"irritability";"US";"web"
"18";"South Carolina";64;"irritability";"US";"web"
"19";"Arizona";63;"irritability";"US";"web"
"20";"Minnesota";63;"irritability";"US";"web"
"21";"Louisiana";62;"irritability";"US";"web"
"22";"North Carolina";61;"irritability";"US";"web"
"23";"New Mexico";60;"irritability";"US";"web"
"24";"Oklahoma";59;"irritability";"US";"web"
"25";"South Dakota";59;"irritability";"US";"web"
"26";"Georgia";58;"irritability";"US";"web"
"27";"West Virginia";58;"irritability";"US";"web"
"28";"Florida";58;"irritability";"US";"web"
"29";"Illinois";57;"irritability";"US";"web"
"30";"Connecticut";57;"irritability";"US";"web"
"31";"Rhode Island";57;"irritability";"US";"web"
"32";"Iowa";56;"irritability";"US";"web"
"33";"Michigan";56;"irritability";"US";"web"
"34";"Washington";55;"irritability";"US";"web"
"35";"Montana";55;"irritability";"US";"web"
"36";"Massachusetts";53;"irritability";"US";"web"
"37";"New York";53;"irritability";"US";"web"
"38";"District of Columbia";53;"irritability";"US";"web"
"39";"Wisconsin";52;"irritability";"US";"web"
"40";"Texas";52;"irritability";"US";"web"
"41";"Hawaii";51;"irritability";"US";"web"
"42";"New Jersey";51;"irritability";"US";"web"
"43";"California";50;"irritability";"US";"web"
"44";"Kansas";47;"irritability";"US";"web"
"45";"Arkansas";46;"irritability";"US";"web"
"46";"Oregon";43;"irritability";"US";"web"
"47";"Nevada";40;"irritability";"US";"web"
"48";"Virginia";38;"irritability";"US";"web"
