"";"location";"hits";"keyword";"geo";"gprop"
"1";"Maryland";100;"lack";"US";"web"
"2";"Alaska";98;"lack";"US";"web"
"3";"Mississippi";94;"lack";"US";"web"
"4";"New Hampshire";94;"lack";"US";"web"
"5";"New Mexico";94;"lack";"US";"web"
"6";"Massachusetts";93;"lack";"US";"web"
"7";"Idaho";92;"lack";"US";"web"
"8";"Florida";91;"lack";"US";"web"
"9";"Arizona";91;"lack";"US";"web"
"10";"Connecticut";91;"lack";"US";"web"
"11";"Maine";90;"lack";"US";"web"
"12";"District of Columbia";90;"lack";"US";"web"
"13";"Indiana";89;"lack";"US";"web"
"14";"Vermont";88;"lack";"US";"web"
"15";"Minnesota";88;"lack";"US";"web"
"16";"Utah";88;"lack";"US";"web"
"17";"South Dakota";88;"lack";"US";"web"
"18";"Rhode Island";88;"lack";"US";"web"
"19";"North Carolina";88;"lack";"US";"web"
"20";"Iowa";87;"lack";"US";"web"
"21";"Ohio";87;"lack";"US";"web"
"22";"Michigan";87;"lack";"US";"web"
"23";"Wyoming";86;"lack";"US";"web"
"24";"Nebraska";86;"lack";"US";"web"
"25";"New Jersey";86;"lack";"US";"web"
"26";"Pennsylvania";85;"lack";"US";"web"
"27";"Colorado";85;"lack";"US";"web"
"28";"Missouri";84;"lack";"US";"web"
"29";"Texas";84;"lack";"US";"web"
"30";"California";84;"lack";"US";"web"
"31";"Illinois";83;"lack";"US";"web"
"32";"Tennessee";83;"lack";"US";"web"
"33";"Oklahoma";82;"lack";"US";"web"
"34";"Georgia";82;"lack";"US";"web"
"35";"Arkansas";81;"lack";"US";"web"
"36";"New York";81;"lack";"US";"web"
"37";"Nevada";81;"lack";"US";"web"
"38";"Hawaii";80;"lack";"US";"web"
"39";"West Virginia";80;"lack";"US";"web"
"40";"Washington";79;"lack";"US";"web"
"41";"Wisconsin";79;"lack";"US";"web"
"42";"Montana";78;"lack";"US";"web"
"43";"Louisiana";78;"lack";"US";"web"
"44";"South Carolina";78;"lack";"US";"web"
"45";"Delaware";76;"lack";"US";"web"
"46";"Alabama";76;"lack";"US";"web"
"47";"Kentucky";76;"lack";"US";"web"
"48";"Oregon";74;"lack";"US";"web"
"49";"Virginia";70;"lack";"US";"web"
"50";"North Dakota";70;"lack";"US";"web"
"51";"Kansas";67;"lack";"US";"web"
