"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alaska";100;"lonely";"US";"web"
"2";"Hawaii";98;"lonely";"US";"web"
"3";"Vermont";97;"lonely";"US";"web"
"4";"New Mexico";95;"lonely";"US";"web"
"5";"Maine";89;"lonely";"US";"web"
"6";"New York";89;"lonely";"US";"web"
"7";"District of Columbia";88;"lonely";"US";"web"
"8";"Washington";86;"lonely";"US";"web"
"9";"Massachusetts";86;"lonely";"US";"web"
"10";"California";86;"lonely";"US";"web"
"11";"West Virginia";86;"lonely";"US";"web"
"12";"Colorado";85;"lonely";"US";"web"
"13";"Montana";85;"lonely";"US";"web"
"14";"Rhode Island";84;"lonely";"US";"web"
"15";"Louisiana";84;"lonely";"US";"web"
"16";"Tennessee";84;"lonely";"US";"web"
"17";"Kentucky";83;"lonely";"US";"web"
"18";"Wyoming";83;"lonely";"US";"web"
"19";"Pennsylvania";82;"lonely";"US";"web"
"20";"Indiana";82;"lonely";"US";"web"
"21";"Idaho";82;"lonely";"US";"web"
"22";"Arkansas";81;"lonely";"US";"web"
"23";"Oregon";81;"lonely";"US";"web"
"24";"New Hampshire";81;"lonely";"US";"web"
"25";"Minnesota";81;"lonely";"US";"web"
"26";"Mississippi";81;"lonely";"US";"web"
"27";"Virginia";81;"lonely";"US";"web"
"28";"Texas";81;"lonely";"US";"web"
"29";"Illinois";80;"lonely";"US";"web"
"30";"Oklahoma";80;"lonely";"US";"web"
"31";"Wisconsin";80;"lonely";"US";"web"
"32";"North Dakota";80;"lonely";"US";"web"
"33";"Connecticut";79;"lonely";"US";"web"
"34";"Utah";79;"lonely";"US";"web"
"35";"Missouri";79;"lonely";"US";"web"
"36";"Michigan";79;"lonely";"US";"web"
"37";"Georgia";78;"lonely";"US";"web"
"38";"Nevada";78;"lonely";"US";"web"
"39";"South Carolina";78;"lonely";"US";"web"
"40";"Nebraska";78;"lonely";"US";"web"
"41";"New Jersey";78;"lonely";"US";"web"
"42";"Iowa";78;"lonely";"US";"web"
"43";"Maryland";78;"lonely";"US";"web"
"44";"Kansas";78;"lonely";"US";"web"
"45";"North Carolina";78;"lonely";"US";"web"
"46";"Ohio";77;"lonely";"US";"web"
"47";"South Dakota";77;"lonely";"US";"web"
"48";"Alabama";77;"lonely";"US";"web"
"49";"Arizona";77;"lonely";"US";"web"
"50";"Delaware";74;"lonely";"US";"web"
"51";"Florida";73;"lonely";"US";"web"
