"";"location";"hits";"keyword";"geo";"gprop"
"1";"Arizona";100;"low";"US";"web"
"2";"South Carolina";97;"low";"US";"web"
"3";"West Virginia";95;"low";"US";"web"
"4";"Arkansas";90;"low";"US";"web"
"5";"Mississippi";88;"low";"US";"web"
"6";"Alabama";88;"low";"US";"web"
"7";"Indiana";88;"low";"US";"web"
"8";"Tennessee";87;"low";"US";"web"
"9";"New Mexico";87;"low";"US";"web"
"10";"Kentucky";87;"low";"US";"web"
"11";"North Carolina";86;"low";"US";"web"
"12";"Louisiana";86;"low";"US";"web"
"13";"Maine";85;"low";"US";"web"
"14";"New Hampshire";84;"low";"US";"web"
"15";"Oklahoma";84;"low";"US";"web"
"16";"Montana";84;"low";"US";"web"
"17";"Idaho";83;"low";"US";"web"
"18";"Wyoming";83;"low";"US";"web"
"19";"Pennsylvania";83;"low";"US";"web"
"20";"Michigan";83;"low";"US";"web"
"21";"South Dakota";82;"low";"US";"web"
"22";"Delaware";82;"low";"US";"web"
"23";"Washington";82;"low";"US";"web"
"24";"Missouri";82;"low";"US";"web"
"25";"Kansas";81;"low";"US";"web"
"26";"Virginia";81;"low";"US";"web"
"27";"Georgia";81;"low";"US";"web"
"28";"Ohio";81;"low";"US";"web"
"29";"Rhode Island";81;"low";"US";"web"
"30";"Wisconsin";81;"low";"US";"web"
"31";"Maryland";81;"low";"US";"web"
"32";"Iowa";80;"low";"US";"web"
"33";"Nevada";80;"low";"US";"web"
"34";"Connecticut";79;"low";"US";"web"
"35";"Utah";79;"low";"US";"web"
"36";"Minnesota";79;"low";"US";"web"
"37";"North Dakota";79;"low";"US";"web"
"38";"Nebraska";79;"low";"US";"web"
"39";"Vermont";79;"low";"US";"web"
"40";"California";79;"low";"US";"web"
"41";"Alaska";78;"low";"US";"web"
"42";"Massachusetts";78;"low";"US";"web"
"43";"Texas";78;"low";"US";"web"
"44";"New Jersey";78;"low";"US";"web"
"45";"Colorado";77;"low";"US";"web"
"46";"Illinois";77;"low";"US";"web"
"47";"Florida";77;"low";"US";"web"
"48";"New York";74;"low";"US";"web"
"49";"Hawaii";73;"low";"US";"web"
"50";"District of Columbia";72;"low";"US";"web"
"51";"Oregon";58;"low";"US";"web"
