"";"location";"hits";"keyword";"geo";"gprop"
"1";"Vermont";100;"mental health";"US";"web"
"2";"Montana";93;"mental health";"US";"web"
"3";"Alaska";87;"mental health";"US";"web"
"4";"Kansas";85;"mental health";"US";"web"
"5";"Minnesota";82;"mental health";"US";"web"
"6";"New Hampshire";82;"mental health";"US";"web"
"7";"Mississippi";80;"mental health";"US";"web"
"8";"Iowa";79;"mental health";"US";"web"
"9";"Maine";79;"mental health";"US";"web"
"10";"Colorado";77;"mental health";"US";"web"
"11";"Rhode Island";72;"mental health";"US";"web"
"12";"Alabama";70;"mental health";"US";"web"
"13";"Oregon";70;"mental health";"US";"web"
"14";"Wyoming";69;"mental health";"US";"web"
"15";"Massachusetts";65;"mental health";"US";"web"
"16";"Maryland";65;"mental health";"US";"web"
"17";"Utah";65;"mental health";"US";"web"
"18";"Washington";64;"mental health";"US";"web"
"19";"Tennessee";64;"mental health";"US";"web"
"20";"South Carolina";64;"mental health";"US";"web"
"21";"Oklahoma";64;"mental health";"US";"web"
"22";"Idaho";63;"mental health";"US";"web"
"23";"Wisconsin";61;"mental health";"US";"web"
"24";"North Dakota";60;"mental health";"US";"web"
"25";"Michigan";58;"mental health";"US";"web"
"26";"North Carolina";58;"mental health";"US";"web"
"27";"Missouri";57;"mental health";"US";"web"
"28";"Nebraska";56;"mental health";"US";"web"
"29";"Indiana";55;"mental health";"US";"web"
"30";"Pennsylvania";54;"mental health";"US";"web"
"31";"West Virginia";54;"mental health";"US";"web"
"32";"Connecticut";54;"mental health";"US";"web"
"33";"District of Columbia";52;"mental health";"US";"web"
"34";"Virginia";51;"mental health";"US";"web"
"35";"New York";50;"mental health";"US";"web"
"36";"Delaware";50;"mental health";"US";"web"
"37";"Louisiana";50;"mental health";"US";"web"
"38";"Ohio";49;"mental health";"US";"web"
"39";"Arkansas";49;"mental health";"US";"web"
"40";"Nevada";47;"mental health";"US";"web"
"41";"New Mexico";47;"mental health";"US";"web"
"42";"Florida";45;"mental health";"US";"web"
"43";"California";44;"mental health";"US";"web"
"44";"South Dakota";43;"mental health";"US";"web"
"45";"Kentucky";42;"mental health";"US";"web"
"46";"New Jersey";42;"mental health";"US";"web"
"47";"Illinois";42;"mental health";"US";"web"
"48";"Georgia";41;"mental health";"US";"web"
"49";"Hawaii";40;"mental health";"US";"web"
"50";"Arizona";37;"mental health";"US";"web"
"51";"Texas";31;"mental health";"US";"web"
