"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"nervous";"US";"web"
"2";"West Virginia";98;"nervous";"US";"web"
"3";"North Dakota";98;"nervous";"US";"web"
"4";"Maine";96;"nervous";"US";"web"
"5";"South Dakota";94;"nervous";"US";"web"
"6";"Iowa";93;"nervous";"US";"web"
"7";"Indiana";93;"nervous";"US";"web"
"8";"Alabama";91;"nervous";"US";"web"
"9";"Arkansas";89;"nervous";"US";"web"
"10";"New Mexico";89;"nervous";"US";"web"
"11";"Kentucky";89;"nervous";"US";"web"
"12";"Vermont";88;"nervous";"US";"web"
"13";"Rhode Island";88;"nervous";"US";"web"
"14";"Idaho";87;"nervous";"US";"web"
"15";"North Carolina";86;"nervous";"US";"web"
"16";"South Carolina";86;"nervous";"US";"web"
"17";"Connecticut";85;"nervous";"US";"web"
"18";"Massachusetts";84;"nervous";"US";"web"
"19";"Florida";83;"nervous";"US";"web"
"20";"Ohio";83;"nervous";"US";"web"
"21";"Wisconsin";83;"nervous";"US";"web"
"22";"Maryland";83;"nervous";"US";"web"
"23";"Missouri";82;"nervous";"US";"web"
"24";"New Hampshire";82;"nervous";"US";"web"
"25";"Louisiana";82;"nervous";"US";"web"
"26";"Delaware";82;"nervous";"US";"web"
"27";"Michigan";80;"nervous";"US";"web"
"28";"Pennsylvania";79;"nervous";"US";"web"
"29";"New Jersey";79;"nervous";"US";"web"
"30";"Kansas";78;"nervous";"US";"web"
"31";"Tennessee";77;"nervous";"US";"web"
"32";"Arizona";77;"nervous";"US";"web"
"33";"Georgia";77;"nervous";"US";"web"
"34";"Oklahoma";77;"nervous";"US";"web"
"35";"Texas";77;"nervous";"US";"web"
"36";"Minnesota";77;"nervous";"US";"web"
"37";"Montana";76;"nervous";"US";"web"
"38";"New York";76;"nervous";"US";"web"
"39";"California";76;"nervous";"US";"web"
"40";"Hawaii";75;"nervous";"US";"web"
"41";"Illinois";75;"nervous";"US";"web"
"42";"Nebraska";75;"nervous";"US";"web"
"43";"Wyoming";74;"nervous";"US";"web"
"44";"Nevada";74;"nervous";"US";"web"
"45";"Colorado";74;"nervous";"US";"web"
"46";"Alaska";73;"nervous";"US";"web"
"47";"Utah";73;"nervous";"US";"web"
"48";"Washington";66;"nervous";"US";"web"
"49";"Virginia";65;"nervous";"US";"web"
"50";"Oregon";60;"nervous";"US";"web"
"51";"District of Columbia";58;"nervous";"US";"web"
