"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"opinion";"US";"web"
"2";"Pennsylvania";39;"opinion";"US";"web"
"3";"California";39;"opinion";"US";"web"
"4";"District of Columbia";34;"opinion";"US";"web"
"5";"Nevada";32;"opinion";"US";"web"
"6";"Maryland";32;"opinion";"US";"web"
"7";"Connecticut";32;"opinion";"US";"web"
"8";"New Jersey";31;"opinion";"US";"web"
"9";"Rhode Island";30;"opinion";"US";"web"
"10";"Iowa";30;"opinion";"US";"web"
"11";"Ohio";30;"opinion";"US";"web"
"12";"Wyoming";30;"opinion";"US";"web"
"13";"Missouri";30;"opinion";"US";"web"
"14";"Vermont";30;"opinion";"US";"web"
"15";"West Virginia";30;"opinion";"US";"web"
"16";"New Hampshire";29;"opinion";"US";"web"
"17";"Indiana";29;"opinion";"US";"web"
"18";"Arizona";29;"opinion";"US";"web"
"19";"Florida";29;"opinion";"US";"web"
"20";"New York";29;"opinion";"US";"web"
"21";"Nebraska";29;"opinion";"US";"web"
"22";"Mississippi";29;"opinion";"US";"web"
"23";"Arkansas";29;"opinion";"US";"web"
"24";"Louisiana";29;"opinion";"US";"web"
"25";"Alabama";28;"opinion";"US";"web"
"26";"Massachusetts";28;"opinion";"US";"web"
"27";"Hawaii";28;"opinion";"US";"web"
"28";"Delaware";28;"opinion";"US";"web"
"29";"Montana";28;"opinion";"US";"web"
"30";"North Dakota";28;"opinion";"US";"web"
"31";"North Carolina";27;"opinion";"US";"web"
"32";"Minnesota";27;"opinion";"US";"web"
"33";"Colorado";27;"opinion";"US";"web"
"34";"South Carolina";27;"opinion";"US";"web"
"35";"Wisconsin";27;"opinion";"US";"web"
"36";"New Mexico";27;"opinion";"US";"web"
"37";"Idaho";26;"opinion";"US";"web"
"38";"Kentucky";26;"opinion";"US";"web"
"39";"Utah";26;"opinion";"US";"web"
"40";"Illinois";26;"opinion";"US";"web"
"41";"Virginia";26;"opinion";"US";"web"
"42";"Maine";26;"opinion";"US";"web"
"43";"Oklahoma";25;"opinion";"US";"web"
"44";"Tennessee";25;"opinion";"US";"web"
"45";"Oregon";25;"opinion";"US";"web"
"46";"Michigan";25;"opinion";"US";"web"
"47";"Kansas";25;"opinion";"US";"web"
"48";"Washington";25;"opinion";"US";"web"
"49";"Georgia";25;"opinion";"US";"web"
"50";"Texas";24;"opinion";"US";"web"
"51";"Alaska";21;"opinion";"US";"web"
