"";"location";"hits";"keyword";"geo";"gprop"
"1";"Vermont";100;"oppressed";"US";"web"
"2";"Rhode Island";72;"oppressed";"US";"web"
"3";"Connecticut";68;"oppressed";"US";"web"
"4";"New York";67;"oppressed";"US";"web"
"5";"Idaho";67;"oppressed";"US";"web"
"6";"Massachusetts";66;"oppressed";"US";"web"
"7";"California";65;"oppressed";"US";"web"
"8";"District of Columbia";62;"oppressed";"US";"web"
"9";"Washington";60;"oppressed";"US";"web"
"10";"Pennsylvania";60;"oppressed";"US";"web"
"11";"Indiana";59;"oppressed";"US";"web"
"12";"Maryland";59;"oppressed";"US";"web"
"13";"North Carolina";59;"oppressed";"US";"web"
"14";"Minnesota";57;"oppressed";"US";"web"
"15";"Louisiana";55;"oppressed";"US";"web"
"16";"Iowa";55;"oppressed";"US";"web"
"17";"Mississippi";55;"oppressed";"US";"web"
"18";"New Mexico";55;"oppressed";"US";"web"
"19";"New Jersey";54;"oppressed";"US";"web"
"20";"Alaska";53;"oppressed";"US";"web"
"21";"Arizona";53;"oppressed";"US";"web"
"22";"New Hampshire";52;"oppressed";"US";"web"
"23";"Colorado";52;"oppressed";"US";"web"
"24";"Michigan";51;"oppressed";"US";"web"
"25";"South Dakota";51;"oppressed";"US";"web"
"26";"Missouri";50;"oppressed";"US";"web"
"27";"Georgia";50;"oppressed";"US";"web"
"28";"Kentucky";50;"oppressed";"US";"web"
"29";"Illinois";50;"oppressed";"US";"web"
"30";"Kansas";50;"oppressed";"US";"web"
"31";"Wisconsin";50;"oppressed";"US";"web"
"32";"Tennessee";47;"oppressed";"US";"web"
"33";"Maine";47;"oppressed";"US";"web"
"34";"Ohio";46;"oppressed";"US";"web"
"35";"Nevada";45;"oppressed";"US";"web"
"36";"Delaware";45;"oppressed";"US";"web"
"37";"Alabama";45;"oppressed";"US";"web"
"38";"Oregon";45;"oppressed";"US";"web"
"39";"Hawaii";44;"oppressed";"US";"web"
"40";"Florida";42;"oppressed";"US";"web"
"41";"Texas";41;"oppressed";"US";"web"
"42";"Nebraska";41;"oppressed";"US";"web"
"43";"Virginia";40;"oppressed";"US";"web"
"44";"South Carolina";40;"oppressed";"US";"web"
"45";"Utah";38;"oppressed";"US";"web"
"46";"Arkansas";36;"oppressed";"US";"web"
"47";"Oklahoma";36;"oppressed";"US";"web"
"48";"Montana";28;"oppressed";"US";"web"
"49";"Wyoming";19;"oppressed";"US";"web"
"50";"West Virginia";18;"oppressed";"US";"web"
"51";"North Dakota";17;"oppressed";"US";"web"
