"";"location";"hits";"keyword";"geo";"gprop"
"1";"Wyoming";100;"organize";"US";"web"
"2";"Delaware";99;"organize";"US";"web"
"3";"Mississippi";96;"organize";"US";"web"
"4";"Maryland";92;"organize";"US";"web"
"5";"Utah";90;"organize";"US";"web"
"6";"Louisiana";90;"organize";"US";"web"
"7";"South Dakota";90;"organize";"US";"web"
"8";"Vermont";90;"organize";"US";"web"
"9";"Hawaii";89;"organize";"US";"web"
"10";"Maine";88;"organize";"US";"web"
"11";"Indiana";88;"organize";"US";"web"
"12";"New Mexico";87;"organize";"US";"web"
"13";"Arkansas";87;"organize";"US";"web"
"14";"Alabama";85;"organize";"US";"web"
"15";"Montana";83;"organize";"US";"web"
"16";"Massachusetts";83;"organize";"US";"web"
"17";"North Carolina";82;"organize";"US";"web"
"18";"New Hampshire";81;"organize";"US";"web"
"19";"Rhode Island";81;"organize";"US";"web"
"20";"Colorado";81;"organize";"US";"web"
"21";"Arizona";81;"organize";"US";"web"
"22";"California";80;"organize";"US";"web"
"23";"Alaska";80;"organize";"US";"web"
"24";"North Dakota";80;"organize";"US";"web"
"25";"New Jersey";79;"organize";"US";"web"
"26";"Wisconsin";78;"organize";"US";"web"
"27";"Kentucky";78;"organize";"US";"web"
"28";"Washington";78;"organize";"US";"web"
"29";"Ohio";77;"organize";"US";"web"
"30";"Idaho";77;"organize";"US";"web"
"31";"Nebraska";76;"organize";"US";"web"
"32";"Minnesota";76;"organize";"US";"web"
"33";"West Virginia";76;"organize";"US";"web"
"34";"Florida";74;"organize";"US";"web"
"35";"Pennsylvania";74;"organize";"US";"web"
"36";"Tennessee";73;"organize";"US";"web"
"37";"Iowa";73;"organize";"US";"web"
"38";"Connecticut";72;"organize";"US";"web"
"39";"Missouri";71;"organize";"US";"web"
"40";"South Carolina";71;"organize";"US";"web"
"41";"Texas";71;"organize";"US";"web"
"42";"Kansas";70;"organize";"US";"web"
"43";"New York";70;"organize";"US";"web"
"44";"Georgia";70;"organize";"US";"web"
"45";"Nevada";68;"organize";"US";"web"
"46";"Oklahoma";68;"organize";"US";"web"
"47";"Michigan";67;"organize";"US";"web"
"48";"Illinois";65;"organize";"US";"web"
"49";"District of Columbia";61;"organize";"US";"web"
"50";"Virginia";55;"organize";"US";"web"
"51";"Oregon";52;"organize";"US";"web"
