"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"pain";"US";"web"
"2";"Kentucky";98;"pain";"US";"web"
"3";"Tennessee";95;"pain";"US";"web"
"4";"Mississippi";95;"pain";"US";"web"
"5";"Alabama";89;"pain";"US";"web"
"6";"Arkansas";89;"pain";"US";"web"
"7";"Oklahoma";88;"pain";"US";"web"
"8";"Louisiana";88;"pain";"US";"web"
"9";"South Carolina";88;"pain";"US";"web"
"10";"Pennsylvania";87;"pain";"US";"web"
"11";"Indiana";86;"pain";"US";"web"
"12";"Missouri";84;"pain";"US";"web"
"13";"North Carolina";84;"pain";"US";"web"
"14";"Ohio";83;"pain";"US";"web"
"15";"Georgia";83;"pain";"US";"web"
"16";"Delaware";83;"pain";"US";"web"
"17";"Maine";83;"pain";"US";"web"
"18";"Michigan";83;"pain";"US";"web"
"19";"Rhode Island";80;"pain";"US";"web"
"20";"Iowa";80;"pain";"US";"web"
"21";"North Dakota";80;"pain";"US";"web"
"22";"New Hampshire";80;"pain";"US";"web"
"23";"Alaska";80;"pain";"US";"web"
"24";"Arizona";80;"pain";"US";"web"
"25";"Idaho";80;"pain";"US";"web"
"26";"Massachusetts";80;"pain";"US";"web"
"27";"Illinois";79;"pain";"US";"web"
"28";"Wisconsin";79;"pain";"US";"web"
"29";"Maryland";78;"pain";"US";"web"
"30";"Montana";78;"pain";"US";"web"
"31";"Nebraska";78;"pain";"US";"web"
"32";"Florida";78;"pain";"US";"web"
"33";"South Dakota";78;"pain";"US";"web"
"34";"Wyoming";78;"pain";"US";"web"
"35";"New Jersey";77;"pain";"US";"web"
"36";"Kansas";77;"pain";"US";"web"
"37";"Nevada";77;"pain";"US";"web"
"38";"Minnesota";77;"pain";"US";"web"
"39";"New Mexico";77;"pain";"US";"web"
"40";"District of Columbia";77;"pain";"US";"web"
"41";"New York";76;"pain";"US";"web"
"42";"Texas";75;"pain";"US";"web"
"43";"Connecticut";75;"pain";"US";"web"
"44";"Vermont";75;"pain";"US";"web"
"45";"Utah";74;"pain";"US";"web"
"46";"Washington";73;"pain";"US";"web"
"47";"Colorado";72;"pain";"US";"web"
"48";"Hawaii";72;"pain";"US";"web"
"49";"California";67;"pain";"US";"web"
"50";"Virginia";64;"pain";"US";"web"
"51";"Oregon";47;"pain";"US";"web"
