"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"pain";"US";"web"
"2";"Kentucky";95;"pain";"US";"web"
"3";"Tennessee";92;"pain";"US";"web"
"4";"Mississippi";92;"pain";"US";"web"
"5";"Alabama";90;"pain";"US";"web"
"6";"Arkansas";89;"pain";"US";"web"
"7";"Pennsylvania";87;"pain";"US";"web"
"8";"Oklahoma";86;"pain";"US";"web"
"9";"South Carolina";85;"pain";"US";"web"
"10";"Louisiana";85;"pain";"US";"web"
"11";"Ohio";84;"pain";"US";"web"
"12";"Delaware";83;"pain";"US";"web"
"13";"North Carolina";82;"pain";"US";"web"
"14";"Indiana";82;"pain";"US";"web"
"15";"Michigan";82;"pain";"US";"web"
"16";"Missouri";81;"pain";"US";"web"
"17";"New Hampshire";81;"pain";"US";"web"
"18";"South Dakota";80;"pain";"US";"web"
"19";"Maine";80;"pain";"US";"web"
"20";"Georgia";80;"pain";"US";"web"
"21";"Rhode Island";79;"pain";"US";"web"
"22";"Maryland";79;"pain";"US";"web"
"23";"Arizona";79;"pain";"US";"web"
"24";"Wisconsin";78;"pain";"US";"web"
"25";"New Jersey";78;"pain";"US";"web"
"26";"New Mexico";78;"pain";"US";"web"
"27";"Montana";78;"pain";"US";"web"
"28";"Alaska";78;"pain";"US";"web"
"29";"Nebraska";78;"pain";"US";"web"
"30";"Iowa";78;"pain";"US";"web"
"31";"North Dakota";77;"pain";"US";"web"
"32";"District of Columbia";76;"pain";"US";"web"
"33";"Wyoming";76;"pain";"US";"web"
"34";"Florida";76;"pain";"US";"web"
"35";"Connecticut";76;"pain";"US";"web"
"36";"Minnesota";76;"pain";"US";"web"
"37";"Idaho";76;"pain";"US";"web"
"38";"Massachusetts";75;"pain";"US";"web"
"39";"Illinois";75;"pain";"US";"web"
"40";"Vermont";74;"pain";"US";"web"
"41";"Nevada";74;"pain";"US";"web"
"42";"New York";74;"pain";"US";"web"
"43";"Kansas";74;"pain";"US";"web"
"44";"Texas";73;"pain";"US";"web"
"45";"Washington";73;"pain";"US";"web"
"46";"Utah";72;"pain";"US";"web"
"47";"Virginia";72;"pain";"US";"web"
"48";"Colorado";70;"pain";"US";"web"
"49";"Hawaii";70;"pain";"US";"web"
"50";"California";64;"pain";"US";"web"
"51";"Oregon";60;"pain";"US";"web"
