"";"location";"hits";"keyword";"geo";"gprop"
"1";"New Jersey";100;"parents";"US";"web"
"2";"Arkansas";97;"parents";"US";"web"
"3";"Alabama";95;"parents";"US";"web"
"4";"Mississippi";93;"parents";"US";"web"
"5";"Iowa";93;"parents";"US";"web"
"6";"West Virginia";92;"parents";"US";"web"
"7";"Nebraska";92;"parents";"US";"web"
"8";"North Carolina";92;"parents";"US";"web"
"9";"Delaware";91;"parents";"US";"web"
"10";"Maryland";91;"parents";"US";"web"
"11";"Missouri";91;"parents";"US";"web"
"12";"Ohio";90;"parents";"US";"web"
"13";"Louisiana";90;"parents";"US";"web"
"14";"Tennessee";90;"parents";"US";"web"
"15";"Pennsylvania";89;"parents";"US";"web"
"16";"New Hampshire";88;"parents";"US";"web"
"17";"Wyoming";88;"parents";"US";"web"
"18";"Rhode Island";88;"parents";"US";"web"
"19";"Connecticut";88;"parents";"US";"web"
"20";"Kentucky";87;"parents";"US";"web"
"21";"Wisconsin";87;"parents";"US";"web"
"22";"Idaho";87;"parents";"US";"web"
"23";"Indiana";87;"parents";"US";"web"
"24";"Massachusetts";86;"parents";"US";"web"
"25";"Oklahoma";86;"parents";"US";"web"
"26";"South Carolina";86;"parents";"US";"web"
"27";"Illinois";85;"parents";"US";"web"
"28";"Maine";84;"parents";"US";"web"
"29";"Michigan";84;"parents";"US";"web"
"30";"North Dakota";84;"parents";"US";"web"
"31";"New York";84;"parents";"US";"web"
"32";"Georgia";83;"parents";"US";"web"
"33";"Vermont";83;"parents";"US";"web"
"34";"Utah";83;"parents";"US";"web"
"35";"Arizona";82;"parents";"US";"web"
"36";"South Dakota";82;"parents";"US";"web"
"37";"Kansas";81;"parents";"US";"web"
"38";"Florida";81;"parents";"US";"web"
"39";"Minnesota";81;"parents";"US";"web"
"40";"New Mexico";81;"parents";"US";"web"
"41";"Texas";81;"parents";"US";"web"
"42";"California";80;"parents";"US";"web"
"43";"Alaska";77;"parents";"US";"web"
"44";"Hawaii";76;"parents";"US";"web"
"45";"Nevada";76;"parents";"US";"web"
"46";"Washington";75;"parents";"US";"web"
"47";"Colorado";74;"parents";"US";"web"
"48";"District of Columbia";74;"parents";"US";"web"
"49";"Montana";71;"parents";"US";"web"
"50";"Virginia";66;"parents";"US";"web"
"51";"Oregon";46;"parents";"US";"web"
