"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"patience";"US";"web"
"2";"Mississippi";97;"patience";"US";"web"
"3";"Hawaii";97;"patience";"US";"web"
"4";"Georgia";96;"patience";"US";"web"
"5";"Colorado";92;"patience";"US";"web"
"6";"Delaware";90;"patience";"US";"web"
"7";"Vermont";89;"patience";"US";"web"
"8";"North Carolina";89;"patience";"US";"web"
"9";"Texas";88;"patience";"US";"web"
"10";"Idaho";88;"patience";"US";"web"
"11";"Michigan";88;"patience";"US";"web"
"12";"South Carolina";88;"patience";"US";"web"
"13";"Oklahoma";88;"patience";"US";"web"
"14";"South Dakota";86;"patience";"US";"web"
"15";"Maryland";86;"patience";"US";"web"
"16";"Tennessee";85;"patience";"US";"web"
"17";"Arkansas";85;"patience";"US";"web"
"18";"California";85;"patience";"US";"web"
"19";"Pennsylvania";85;"patience";"US";"web"
"20";"Louisiana";84;"patience";"US";"web"
"21";"Alabama";84;"patience";"US";"web"
"22";"District of Columbia";84;"patience";"US";"web"
"23";"Washington";83;"patience";"US";"web"
"24";"Missouri";83;"patience";"US";"web"
"25";"Arizona";83;"patience";"US";"web"
"26";"Alaska";83;"patience";"US";"web"
"27";"Kansas";82;"patience";"US";"web"
"28";"New Mexico";82;"patience";"US";"web"
"29";"Illinois";81;"patience";"US";"web"
"30";"New York";81;"patience";"US";"web"
"31";"Connecticut";79;"patience";"US";"web"
"32";"Maine";79;"patience";"US";"web"
"33";"Kentucky";79;"patience";"US";"web"
"34";"Iowa";79;"patience";"US";"web"
"35";"Florida";78;"patience";"US";"web"
"36";"Ohio";78;"patience";"US";"web"
"37";"Nevada";77;"patience";"US";"web"
"38";"New Jersey";76;"patience";"US";"web"
"39";"Nebraska";75;"patience";"US";"web"
"40";"Virginia";75;"patience";"US";"web"
"41";"New Hampshire";74;"patience";"US";"web"
"42";"Massachusetts";74;"patience";"US";"web"
"43";"Indiana";73;"patience";"US";"web"
"44";"Minnesota";72;"patience";"US";"web"
"45";"Wisconsin";71;"patience";"US";"web"
"46";"Rhode Island";67;"patience";"US";"web"
"47";"West Virginia";67;"patience";"US";"web"
"48";"Montana";66;"patience";"US";"web"
"49";"Oregon";63;"patience";"US";"web"
"50";"North Dakota";60;"patience";"US";"web"
"51";"Wyoming";59;"patience";"US";"web"
