"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"pessimistic";"US";"web"
"2";"South Carolina";95;"pessimistic";"US";"web"
"3";"Texas";95;"pessimistic";"US";"web"
"4";"Florida";94;"pessimistic";"US";"web"
"5";"Hawaii";94;"pessimistic";"US";"web"
"6";"Georgia";94;"pessimistic";"US";"web"
"7";"New Jersey";93;"pessimistic";"US";"web"
"8";"California";91;"pessimistic";"US";"web"
"9";"Delaware";91;"pessimistic";"US";"web"
"10";"Nevada";91;"pessimistic";"US";"web"
"11";"Arizona";89;"pessimistic";"US";"web"
"12";"Indiana";88;"pessimistic";"US";"web"
"13";"Louisiana";88;"pessimistic";"US";"web"
"14";"Maryland";86;"pessimistic";"US";"web"
"15";"Arkansas";86;"pessimistic";"US";"web"
"16";"North Carolina";86;"pessimistic";"US";"web"
"17";"Vermont";85;"pessimistic";"US";"web"
"18";"Nebraska";85;"pessimistic";"US";"web"
"19";"Illinois";84;"pessimistic";"US";"web"
"20";"Alabama";82;"pessimistic";"US";"web"
"21";"Pennsylvania";82;"pessimistic";"US";"web"
"22";"West Virginia";81;"pessimistic";"US";"web"
"23";"Minnesota";80;"pessimistic";"US";"web"
"24";"New York";80;"pessimistic";"US";"web"
"25";"North Dakota";79;"pessimistic";"US";"web"
"26";"Tennessee";78;"pessimistic";"US";"web"
"27";"Ohio";78;"pessimistic";"US";"web"
"28";"Connecticut";77;"pessimistic";"US";"web"
"29";"Kentucky";76;"pessimistic";"US";"web"
"30";"New Mexico";76;"pessimistic";"US";"web"
"31";"Michigan";75;"pessimistic";"US";"web"
"32";"Colorado";75;"pessimistic";"US";"web"
"33";"Washington";75;"pessimistic";"US";"web"
"34";"District of Columbia";74;"pessimistic";"US";"web"
"35";"Oklahoma";73;"pessimistic";"US";"web"
"36";"Missouri";73;"pessimistic";"US";"web"
"37";"Virginia";72;"pessimistic";"US";"web"
"38";"South Dakota";72;"pessimistic";"US";"web"
"39";"Kansas";72;"pessimistic";"US";"web"
"40";"Idaho";71;"pessimistic";"US";"web"
"41";"Massachusetts";70;"pessimistic";"US";"web"
"42";"Wisconsin";67;"pessimistic";"US";"web"
"43";"Utah";66;"pessimistic";"US";"web"
"44";"Alaska";62;"pessimistic";"US";"web"
"45";"New Hampshire";55;"pessimistic";"US";"web"
"46";"Iowa";55;"pessimistic";"US";"web"
"47";"Maine";54;"pessimistic";"US";"web"
"48";"Wyoming";53;"pessimistic";"US";"web"
"49";"Rhode Island";50;"pessimistic";"US";"web"
"50";"Oregon";46;"pessimistic";"US";"web"
"51";"Montana";41;"pessimistic";"US";"web"
