"";"location";"hits";"keyword";"geo";"gprop"
"1";"Mississippi";100;"pills";"US";"web"
"2";"Louisiana";90;"pills";"US";"web"
"3";"West Virginia";89;"pills";"US";"web"
"4";"Georgia";83;"pills";"US";"web"
"5";"Kentucky";82;"pills";"US";"web"
"6";"Texas";82;"pills";"US";"web"
"7";"District of Columbia";77;"pills";"US";"web"
"8";"Alabama";75;"pills";"US";"web"
"9";"Arkansas";72;"pills";"US";"web"
"10";"Florida";71;"pills";"US";"web"
"11";"Illinois";71;"pills";"US";"web"
"12";"Tennessee";70;"pills";"US";"web"
"13";"Missouri";70;"pills";"US";"web"
"14";"Oklahoma";69;"pills";"US";"web"
"15";"North Carolina";69;"pills";"US";"web"
"16";"Michigan";68;"pills";"US";"web"
"17";"Nevada";68;"pills";"US";"web"
"18";"South Carolina";67;"pills";"US";"web"
"19";"Pennsylvania";66;"pills";"US";"web"
"20";"Indiana";65;"pills";"US";"web"
"21";"New York";65;"pills";"US";"web"
"22";"Wyoming";65;"pills";"US";"web"
"23";"Ohio";64;"pills";"US";"web"
"24";"California";64;"pills";"US";"web"
"25";"Arizona";64;"pills";"US";"web"
"26";"Kansas";63;"pills";"US";"web"
"27";"New Mexico";63;"pills";"US";"web"
"28";"New Jersey";63;"pills";"US";"web"
"29";"North Dakota";62;"pills";"US";"web"
"30";"Virginia";61;"pills";"US";"web"
"31";"Nebraska";61;"pills";"US";"web"
"32";"Maryland";61;"pills";"US";"web"
"33";"Delaware";61;"pills";"US";"web"
"34";"South Dakota";60;"pills";"US";"web"
"35";"Rhode Island";58;"pills";"US";"web"
"36";"Iowa";58;"pills";"US";"web"
"37";"Colorado";58;"pills";"US";"web"
"38";"Hawaii";57;"pills";"US";"web"
"39";"Massachusetts";57;"pills";"US";"web"
"40";"Wisconsin";57;"pills";"US";"web"
"41";"Connecticut";56;"pills";"US";"web"
"42";"Washington";56;"pills";"US";"web"
"43";"Minnesota";55;"pills";"US";"web"
"44";"Alaska";54;"pills";"US";"web"
"45";"Montana";52;"pills";"US";"web"
"46";"Idaho";52;"pills";"US";"web"
"47";"Utah";51;"pills";"US";"web"
"48";"New Hampshire";50;"pills";"US";"web"
"49";"Oregon";48;"pills";"US";"web"
"50";"Maine";45;"pills";"US";"web"
"51";"Vermont";43;"pills";"US";"web"
