"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"prescription";"US";"web"
"2";"Arkansas";94;"prescription";"US";"web"
"3";"Tennessee";93;"prescription";"US";"web"
"4";"Kentucky";88;"prescription";"US";"web"
"5";"Alabama";86;"prescription";"US";"web"
"6";"Mississippi";86;"prescription";"US";"web"
"7";"Oklahoma";86;"prescription";"US";"web"
"8";"Indiana";83;"prescription";"US";"web"
"9";"Louisiana";81;"prescription";"US";"web"
"10";"Delaware";81;"prescription";"US";"web"
"11";"North Dakota";80;"prescription";"US";"web"
"12";"Arizona";80;"prescription";"US";"web"
"13";"Idaho";80;"prescription";"US";"web"
"14";"South Carolina";79;"prescription";"US";"web"
"15";"Montana";79;"prescription";"US";"web"
"16";"Nevada";78;"prescription";"US";"web"
"17";"New Mexico";78;"prescription";"US";"web"
"18";"Maine";78;"prescription";"US";"web"
"19";"New Hampshire";78;"prescription";"US";"web"
"20";"Kansas";75;"prescription";"US";"web"
"21";"Michigan";75;"prescription";"US";"web"
"22";"Florida";74;"prescription";"US";"web"
"23";"Oregon";74;"prescription";"US";"web"
"24";"Ohio";74;"prescription";"US";"web"
"25";"Utah";73;"prescription";"US";"web"
"26";"South Dakota";72;"prescription";"US";"web"
"27";"Virginia";71;"prescription";"US";"web"
"28";"North Carolina";71;"prescription";"US";"web"
"29";"Vermont";70;"prescription";"US";"web"
"30";"Rhode Island";70;"prescription";"US";"web"
"31";"Wyoming";70;"prescription";"US";"web"
"32";"Missouri";69;"prescription";"US";"web"
"33";"New Jersey";69;"prescription";"US";"web"
"34";"Washington";69;"prescription";"US";"web"
"35";"Nebraska";69;"prescription";"US";"web"
"36";"Minnesota";69;"prescription";"US";"web"
"37";"Pennsylvania";68;"prescription";"US";"web"
"38";"Alaska";68;"prescription";"US";"web"
"39";"Texas";67;"prescription";"US";"web"
"40";"Maryland";67;"prescription";"US";"web"
"41";"Georgia";67;"prescription";"US";"web"
"42";"Wisconsin";67;"prescription";"US";"web"
"43";"Colorado";65;"prescription";"US";"web"
"44";"Massachusetts";64;"prescription";"US";"web"
"45";"Iowa";64;"prescription";"US";"web"
"46";"Connecticut";64;"prescription";"US";"web"
"47";"District of Columbia";64;"prescription";"US";"web"
"48";"Illinois";63;"prescription";"US";"web"
"49";"New York";59;"prescription";"US";"web"
"50";"California";57;"prescription";"US";"web"
"51";"Hawaii";54;"prescription";"US";"web"
