"";"location";"hits";"keyword";"geo";"gprop"
"1";"Wyoming";100;"prevention";"US";"web"
"2";"Vermont";95;"prevention";"US";"web"
"3";"South Dakota";94;"prevention";"US";"web"
"4";"Maryland";93;"prevention";"US";"web"
"5";"District of Columbia";92;"prevention";"US";"web"
"6";"Alaska";92;"prevention";"US";"web"
"7";"Montana";88;"prevention";"US";"web"
"8";"North Dakota";85;"prevention";"US";"web"
"9";"Delaware";85;"prevention";"US";"web"
"10";"West Virginia";85;"prevention";"US";"web"
"11";"Maine";83;"prevention";"US";"web"
"12";"New Mexico";81;"prevention";"US";"web"
"13";"New Hampshire";81;"prevention";"US";"web"
"14";"Hawaii";80;"prevention";"US";"web"
"15";"Massachusetts";80;"prevention";"US";"web"
"16";"Iowa";79;"prevention";"US";"web"
"17";"Idaho";79;"prevention";"US";"web"
"18";"Connecticut";79;"prevention";"US";"web"
"19";"Rhode Island";78;"prevention";"US";"web"
"20";"North Carolina";78;"prevention";"US";"web"
"21";"Arkansas";77;"prevention";"US";"web"
"22";"Nebraska";77;"prevention";"US";"web"
"23";"Kentucky";76;"prevention";"US";"web"
"24";"Wisconsin";76;"prevention";"US";"web"
"25";"Indiana";76;"prevention";"US";"web"
"26";"Pennsylvania";75;"prevention";"US";"web"
"27";"Minnesota";74;"prevention";"US";"web"
"28";"Ohio";74;"prevention";"US";"web"
"29";"New Jersey";73;"prevention";"US";"web"
"30";"Alabama";72;"prevention";"US";"web"
"31";"Arizona";72;"prevention";"US";"web"
"32";"Colorado";71;"prevention";"US";"web"
"33";"Mississippi";71;"prevention";"US";"web"
"34";"Washington";71;"prevention";"US";"web"
"35";"Tennessee";71;"prevention";"US";"web"
"36";"Virginia";70;"prevention";"US";"web"
"37";"Oklahoma";70;"prevention";"US";"web"
"38";"Missouri";69;"prevention";"US";"web"
"39";"Kansas";69;"prevention";"US";"web"
"40";"Illinois";69;"prevention";"US";"web"
"41";"New York";67;"prevention";"US";"web"
"42";"Utah";67;"prevention";"US";"web"
"43";"South Carolina";66;"prevention";"US";"web"
"44";"California";65;"prevention";"US";"web"
"45";"Louisiana";65;"prevention";"US";"web"
"46";"Michigan";65;"prevention";"US";"web"
"47";"Oregon";65;"prevention";"US";"web"
"48";"Georgia";63;"prevention";"US";"web"
"49";"Texas";61;"prevention";"US";"web"
"50";"Nevada";61;"prevention";"US";"web"
"51";"Florida";60;"prevention";"US";"web"
