"";"location";"hits";"keyword";"geo";"gprop"
"1";"New York";100;"programs";"US";"web"
"2";"Maryland";92;"programs";"US";"web"
"3";"Rhode Island";87;"programs";"US";"web"
"4";"Massachusetts";86;"programs";"US";"web"
"5";"Connecticut";86;"programs";"US";"web"
"6";"Vermont";85;"programs";"US";"web"
"7";"Virginia";84;"programs";"US";"web"
"8";"Mississippi";81;"programs";"US";"web"
"9";"New Hampshire";81;"programs";"US";"web"
"10";"District of Columbia";80;"programs";"US";"web"
"11";"New Jersey";77;"programs";"US";"web"
"12";"Pennsylvania";77;"programs";"US";"web"
"13";"Maine";77;"programs";"US";"web"
"14";"Delaware";75;"programs";"US";"web"
"15";"Oregon";74;"programs";"US";"web"
"16";"California";72;"programs";"US";"web"
"17";"North Carolina";72;"programs";"US";"web"
"18";"Minnesota";72;"programs";"US";"web"
"19";"Michigan";72;"programs";"US";"web"
"20";"Idaho";72;"programs";"US";"web"
"21";"South Carolina";71;"programs";"US";"web"
"22";"Alaska";71;"programs";"US";"web"
"23";"New Mexico";70;"programs";"US";"web"
"24";"Georgia";70;"programs";"US";"web"
"25";"Arizona";70;"programs";"US";"web"
"26";"South Dakota";69;"programs";"US";"web"
"27";"Louisiana";69;"programs";"US";"web"
"28";"Wyoming";69;"programs";"US";"web"
"29";"Ohio";68;"programs";"US";"web"
"30";"Missouri";68;"programs";"US";"web"
"31";"West Virginia";68;"programs";"US";"web"
"32";"Montana";68;"programs";"US";"web"
"33";"Kentucky";68;"programs";"US";"web"
"34";"Arkansas";68;"programs";"US";"web"
"35";"Oklahoma";67;"programs";"US";"web"
"36";"Florida";67;"programs";"US";"web"
"37";"Illinois";66;"programs";"US";"web"
"38";"Iowa";66;"programs";"US";"web"
"39";"Tennessee";66;"programs";"US";"web"
"40";"Hawaii";66;"programs";"US";"web"
"41";"Alabama";66;"programs";"US";"web"
"42";"Colorado";65;"programs";"US";"web"
"43";"Wisconsin";65;"programs";"US";"web"
"44";"Utah";64;"programs";"US";"web"
"45";"Indiana";63;"programs";"US";"web"
"46";"Kansas";63;"programs";"US";"web"
"47";"North Dakota";63;"programs";"US";"web"
"48";"Washington";63;"programs";"US";"web"
"49";"Nebraska";59;"programs";"US";"web"
"50";"Texas";59;"programs";"US";"web"
"51";"Nevada";54;"programs";"US";"web"
